x,y
17.25,0
17.2452,0.108356
17.2309,0.216541
17.2071,0.324384
17.1739,0.431718
17.1314,0.538377
17.0799,0.6442
17.0194,0.749035
16.9503,0.852731
16.8727,0.955148
16.7871,1.05615
16.6937,1.15563
16.5929,1.25345
16.4851,1.34953
16.3707,1.44376
16.2501,1.53608
16.1238,1.62642
15.9923,1.71473
15.8561,1.80096
15.7156,1.8851
15.5715,1.96714
15.4243,2.04708
15.2745,2.12495
15.1227,2.20077
14.9695,2.27461
14.8153,2.34652
14.6609,2.41658
14.5067,2.48489
14.3534,2.55155
14.2014,2.61669
14.0513,2.68044
13.9037,2.74293
13.7591,2.80433
13.618,2.8648
13.4808,2.92451
13.3481,2.98365
13.2202,3.04241
13.0977,3.10099
12.9808,3.15958
12.87,3.21841
12.7656,3.27766
12.668,3.33756
12.5773,3.39832
12.4938,3.46015
12.4179,3.52326
12.3495,3.58786
12.2889,3.65414
12.2362,3.72231
12.1915,3.79255
12.1547,3.86505
12.126,3.93997
12.1052,4.01748
12.0923,4.09773
12.0872,4.18085
12.0898,4.26698
12.0998,4.35621
12.1172,4.44865
12.1416,4.54438
12.1727,4.64344
12.2104,4.7459
12.2542,4.85178
12.3038,4.96107
12.3589,5.07378
12.419,5.18987
12.4837,5.3093
12.5526,5.43198
12.6252,5.55785
12.7011,5.68678
12.7797,5.81866
12.8606,5.95334
12.9433,6.09065
13.0272,6.23042
13.1119,6.37245
13.1968,6.51652
13.2813,6.6624
13.3651,6.80986
13.4475,6.95863
13.5281,7.10844
13.6063,7.25901
13.6818,7.41005
13.7539,7.56126
13.8222,7.71233
13.8864,7.86294
13.9459,8.01278
14.0004,8.16152
14.0495,8.30884
14.0928,8.4544
14.1299,8.5979
14.1607,8.739
14.1847,8.87739
14.2018,9.01276
14.2117,9.14481
14.2143,9.27324
14.2092,9.39776
14.1965,9.51812
14.1761,9.63404
14.1477,9.74529
14.1115,9.85164
14.0674,9.95288
14.0154,10.0488
13.9555,10.1393
13.888,10.2241
13.8128,10.3033
13.7302,10.3765
13.6402,10.4438
13.5432,10.5052
13.4392,10.5605
13.3287,10.6097
13.2118,10.653
13.0889,10.6903
12.9603,10.7217
12.8262,10.7472
12.6872,10.7671
12.5435,10.7815
12.3955,10.7905
12.2437,10.7943
12.0884,10.7931
11.9301,10.7873
