x,y
3.57431,-10.7415
3.6104,-10.545
3.65222,-10.3496
3.69997,-10.1556
3.7536,-9.96319
3.81312,-9.77249
3.87929,-9.58397
3.95437,-9.39881
4.03593,-9.21645
4.12388,-9.03709
4.21809,-8.86094
4.31843,-8.68816
4.43088,-8.52303
4.54949,-8.3623
4.67419,-8.20626
4.80494,-8.05521
4.94578,-7.91348
5.09183,-7.77719
5.24295,-7.64658
5.39893,-7.52176
5.55933,-7.40264
5.72839,-7.29621
5.90204,-7.19757
6.07991,-7.10661
6.26106,-7.02233
6.447,-6.94923
6.63546,-6.88303
6.82627,-6.82393
7.01921,-6.7721
7.21448,-6.72977
7.41165,-6.69769
7.60994,-6.67376
7.80906,-6.65753
8.00862,-6.64779
8.20841,-6.6466
8.40811,-6.65252
8.60752,-6.66458
8.80651,-6.68226
9.00499,-6.7051
9.20285,-6.73279
9.23261,-6.64332
9.14548,-6.46352
9.06308,-6.28151
8.98584,-6.09727
8.91422,-5.91078
8.84854,-5.72211
8.78896,-5.53141
8.73628,-5.33868
8.69107,-5.14407
8.65472,-4.94769
8.62694,-4.74988
8.60759,-4.55102
8.59689,-4.35151
8.59617,-4.15177
8.60339,-3.95215
8.61809,-3.75292
8.64178,-3.55453
8.67386,-3.35733
8.71662,-3.16228
8.76895,-2.96951
8.83212,-2.77996
8.90334,-2.59329
8.98274,-2.41002
9.06954,-2.23011
9.16294,-2.0535
9.26522,-1.88186
9.37664,-1.71609
9.49479,-1.55504
9.61925,-1.39877
9.75198,-1.24943
9.89115,-1.1061
10.0358,-0.968333
10.1854,-0.836007
10.3396,-0.708887
10.4983,-0.587514
10.6616,-0.472471
10.8287,-0.362967
10.9992,-0.258886
11.1728,-0.159973
11.3489,-0.0656831
11.4285,0.0246971
11.2516,0.117694
11.077,0.214753
10.9049,0.316266
10.7359,0.422711
10.5704,0.534652
10.4092,0.652617
10.2528,0.777006
10.1018,0.907758
9.95543,1.04374
9.81445,1.18524
9.67945,1.33251
9.55086,1.48544
9.42944,1.64408
9.31395,1.80707
9.20534,1.97467
9.10669,2.14841
9.01904,2.32794
8.93801,2.51052
8.86417,2.69611
8.79848,2.8848
8.74135,3.07626
8.69323,3.27014
8.65456,3.46604
8.62623,3.66381
8.60678,3.86266
8.59722,4.06219
8.59589,4.26192
8.60273,4.46157
8.61835,4.66075
8.64323,4.859
8.67523,5.05619
8.71516,5.25188
8.76324,5.44578
8.81921,5.63759
8.88343,5.82678
8.95288,6.0141
9.02791,6.19925
9.10826,6.38216
9.19338,6.56291
9.28284,6.74156
9.09152,6.71549
8.8933,6.69046
8.69448,6.67092
8.49519,6.65694
8.29558,6.64887
8.09581,6.64712
7.89608,6.65241
7.69679,6.66663
7.49816,6.68795
7.30047,6.71656
7.104,6.75266
6.90928,6.79745
6.71747,6.85332
6.52845,6.91783
6.34224,6.99015
6.15876,7.06922
5.97989,7.15825
5.80463,7.25412
5.63348,7.35708
5.4668,7.46717
5.30906,7.58981
5.15623,7.71845
5.00864,7.85303
4.8666,7.9935
4.73115,8.14037
4.60382,8.29433
4.48277,8.45322
4.36769,8.6165
4.25839,8.78372
4.16214,8.95881
4.07253,9.13735
3.98909,9.31885
3.91185,9.50308
3.84128,9.69
3.77905,9.87986
3.72325,10.0717
3.67337,10.2651
3.62897,10.4599
3.58978,10.6558
3.5558,10.8527
3.45031,10.8193
3.30581,10.6813
3.158,10.5469
3.00633,10.4168
2.85079,10.2915
2.69151,10.1709
2.52862,10.0552
2.36119,9.94616
2.18836,9.84601
2.01186,9.75246
1.83202,9.66551
1.64876,9.58592
1.46207,9.51472
1.27241,9.45205
1.08048,9.39669
0.886606,9.34855
0.690642,9.30958
0.492351,9.28561
0.293244,9.26958
0.0936611,9.26095
-0.10614,9.26066
-0.305686,9.27056
-0.504528,9.28936
-0.702401,9.31662
-0.898969,9.35238
-1.09391,9.39616
-1.28545,9.4527
-1.47427,9.51782
-1.66029,9.59071
-1.84345,9.67054
-2.02275,9.75866
-2.19849,9.85361
-2.37052,9.95515
-2.5387,10.063
-2.70287,10.1769
-2.86174,10.298
-3.01655,10.4243
-3.16747,10.5552
-3.31481,10.6901
-3.45889,10.8285
-3.558,10.8416
-3.59187,10.6447
-3.63047,10.4486
-3.67478,10.2538
-3.72511,10.0605
-3.78176,9.86895
-3.84506,9.67945
-3.91606,9.49269
-3.99369,9.3086
-4.07796,9.12749
-4.16914,8.94978
-4.26746,8.77585
-4.37329,8.60638
-4.48639,8.4417
-4.60803,8.28337
-4.7381,8.13174
-4.8745,7.98574
-5.01705,7.84575
-5.1649,7.71144
-5.31824,7.58347
-5.47762,7.46299
-5.64378,7.35204
-5.81374,7.24706
-5.98835,7.1502
-6.16814,7.06307
-6.3525,6.98603
-6.53941,6.91552
-6.72895,6.85252
-6.92092,6.79728
-7.11507,6.75008
-7.31155,6.71384
-7.5092,6.68493
-7.70784,6.66404
-7.90724,6.65171
-8.10699,6.64704
-8.30677,6.64922
-8.50638,6.65754
-8.70562,6.67202
-8.90436,6.69237
-9.1025,6.71804
-9.27734,6.73188
-9.18817,6.55307
-9.10364,6.37204
-9.02391,6.18885
-8.94927,6.00355
-8.88022,5.81609
-8.81723,5.6265
-8.76093,5.43479
-8.71315,5.2408
-8.67301,5.04511
-8.63995,4.84811
-8.6141,4.65003
-8.60118,4.45065
-8.59665,4.25092
-8.59922,4.05118
-8.60907,3.85167
-8.62643,3.65263
-8.65652,3.45511
-8.6964,3.25941
-8.74409,3.06543
-8.79883,2.8733
-8.86658,2.68534
-8.94284,2.50071
-9.02581,2.319
-9.11534,2.14043
-9.21336,1.96632
-9.31981,1.79725
-9.43415,1.6335
-9.55578,1.47507
-9.68525,1.3229
-9.8218,1.17705
-9.96388,1.03663
-10.1107,0.901159
-10.2621,0.770808
-10.4184,0.646373
-10.58,0.52893
-10.7456,0.417177
-10.9145,0.310377
-11.0863,0.208541
-11.261,0.111658
-11.4382,0.0193279
-11.3384,-0.0711393
-11.1625,-0.165985
-10.9892,-0.26545
-10.8189,-0.369877
-10.6519,-0.479407
-10.4883,-0.594151
-10.3288,-0.714411
-10.1751,-0.842062
-10.0268,-0.975936
-9.8837,-1.11529
-9.7457,-1.25973
-9.61269,-1.40882
-9.48681,-1.56398
-9.36888,-1.72519
-9.25841,-1.89156
-9.156,-2.06311
-9.06161,-2.23921
-8.97702,-2.42016
-8.90007,-2.60448
-8.83053,-2.79176
-8.76792,-2.9815
-8.71681,-3.17464
-8.67319,-3.36956
-8.63774,-3.56612
-8.61196,-3.76425
-8.60054,-3.9637
-8.59636,-4.16342
-8.59954,-4.36314
-8.61021,-4.56264
-8.62859,-4.7616
-8.65818,-4.95917
-8.69499,-5.1555
-8.73903,-5.35034
-8.79052,-5.54338
-8.85059,-5.73394
-8.91755,-5.92217
-8.99025,-6.10825
-9.06834,-6.29213
-9.15131,-6.47387
-9.2385,-6.65363
-9.19127,-6.73063
-8.99345,-6.70259
-8.79495,-6.67987
-8.59591,-6.66269
-8.39645,-6.65172
-8.19672,-6.6473
-7.99694,-6.64938
-7.79737,-6.65897
-7.59832,-6.67608
-7.40008,-6.70067
-7.20295,-6.73289
-7.00721,-6.7729
-6.81425,-6.82474
-6.62372,-6.88474
-6.43591,-6.95268
-6.25112,-7.02861
-6.06995,-7.11286
-5.89247,-7.20461
-5.71978,-7.30491
-5.55159,-7.41269
-5.38762,-7.52684
-5.23082,-7.65066
-5.08125,-7.78297
-4.93775,-7.92194
-4.79933,-8.06602
-4.66762,-8.21626
-4.54172,-8.37138
-4.42368,-8.53243
-4.31366,-8.69918
-4.21142,-8.87084
-4.11642,-9.0466
-4.02949,-9.22642
-3.94977,-9.40958
-3.87648,-9.59544
-3.81027,-9.78395
-3.75058,-9.97462
-3.69742,-10.1672
-3.65026,-10.3613
-3.60875,-10.5567
-3.5725,-10.7532
-3.52131,-10.8897
-3.37838,-10.7501
-3.2321,-10.614
-3.08244,-10.4816
-2.9291,-10.3536
-2.77202,-10.2302
-2.61117,-10.1117
-2.4453,-10.0003
-2.27479,-9.89614
-2.10061,-9.79835
-1.92272,-9.70752
-1.74117,-9.62413
-1.5559,-9.54933
-1.36752,-9.48281
-1.17692,-9.42302
-0.984049,-9.37119
-0.78849,-9.33024
-0.591249,-9.29838
-0.392829,-9.27543
-0.193606,-9.26171
0.00617577,-9.25914
0.205877,-9.26542
0.40514,-9.27962
0.603763,-9.30089
0.801384,-9.32985
0.996563,-9.37258
1.18915,-9.42564
1.3797,-9.48559
1.5678,-9.55279
1.75224,-9.62961
1.93314,-9.71442
2.11079,-9.80578
2.28507,-9.90341
2.45561,-10.0074
2.62138,-10.119
2.78241,-10.2372
2.93931,-10.3609
3.09245,-10.4892
3.2418,-10.6219
3.38748,-10.7586
3.53002,-10.8986
