x,y
-11.5998,-4.01195
-11.4538,-3.87525
-11.3079,-3.73856
-11.1619,-3.60186
-11.0159,-3.46516
-10.87,-3.32846
-10.7582,-3.34287
-10.6923,-3.53164
-10.6405,-3.72465
-10.608,-3.92173
-10.5953,-4.12112
-10.5993,-4.32094
-10.6148,-4.52026
-10.6454,-4.71773
-10.6915,-4.91222
-10.7489,-5.10372
-10.8166,-5.29184
-10.8936,-5.47633
-10.9775,-5.65782
-11.0669,-5.8367
-11.1608,-6.01328
-11.2581,-6.18795
-11.3581,-6.36118
-11.4598,-6.53337
-11.5624,-6.70499
-11.6654,-6.87643
-11.768,-7.04804
-11.8698,-7.22017
-11.9703,-7.39309
-12.0688,-7.5671
-12.1649,-7.74251
-12.2577,-7.91966
-12.3466,-8.09878
-12.4308,-8.28011
-12.5094,-8.46398
-12.5797,-8.65117
-12.6399,-8.84179
-12.6854,-9.0364
-12.6619,-9.23119
-12.4775,-9.27711
-12.2781,-9.29033
-12.0781,-9.29035
-11.8785,-9.27918
-11.6794,-9.26018
-11.481,-9.23516
-11.2833,-9.20519
-11.0863,-9.17087
-10.8899,-9.13301
-10.6941,-9.09251
-10.4987,-9.05
-10.3036,-9.00606
-10.1087,-8.96124
-9.91383,-8.91621
-9.71888,-8.87163
-9.52367,-8.82821
-9.32799,-8.78697
-9.13172,-8.74862
-8.93467,-8.71456
-8.73676,-8.68586
-8.53802,-8.6637
-8.33858,-8.64911
-8.13864,-8.64585
-7.93884,-8.65379
-7.73966,-8.67153
-7.54194,-8.70135
-7.34851,-8.75184
-7.15858,-8.81439
-6.97599,-8.89581
-6.79843,-8.98777
-6.62979,-9.09517
-6.47238,-9.21844
-6.32841,-9.35716
-6.19539,-9.50645
-6.07022,-9.66239
-5.96497,-9.83235
-5.87005,-10.0084
-5.78855,-10.1909
-5.71976,-10.3787
-5.65986,-10.5695
-5.60874,-10.7628
-5.56658,-10.9583
-5.53243,-11.1553
-5.50331,-11.3532
-5.47855,-11.5516
-5.45698,-11.7504
-5.43751,-11.9495
-5.41941,-12.1486
-5.40194,-12.3478
-5.38439,-12.547
-5.36613,-12.7462
-5.34651,-12.9452
-5.32487,-13.144
-5.30066,-13.3425
-5.27324,-13.5406
-5.24191,-13.7381
-5.20577,-13.9348
-5.16274,-14.1301
-5.11262,-14.3237
-5.0536,-14.5148
-4.98278,-14.7018
-4.89322,-14.8806
-4.70067,-14.8712
-4.52798,-14.7706
-4.3643,-14.6558
-4.20763,-14.5316
-4.05592,-14.4013
-3.90864,-14.266
-3.76527,-14.1266
-3.62512,-13.984
-3.48769,-13.8387
-3.35236,-13.6915
-3.21875,-13.5427
-3.08643,-13.3927
-2.95488,-13.2421
-2.82364,-13.0912
-2.69221,-12.9405
-2.56002,-12.7904
-2.42653,-12.6415
-2.29113,-12.4944
-2.1529,-12.3499
-2.01091,-12.2091
-1.86445,-12.0729
-1.71304,-11.9423
-1.55655,-11.8179
-1.39415,-11.7013
-1.22325,-11.5976
-1.04621,-11.5047
-0.863128,-11.4246
-0.673981,-11.3598
-0.481169,-11.3074
-0.284074,-11.2743
-0.0848504,-11.2589
0.115004,-11.2625
0.314164,-11.2801
0.511268,-11.3117
0.703093,-11.3681
0.891172,-11.4356
1.07279,-11.5192
1.24876,-11.6141
1.41909,-11.7187
1.58136,-11.8354
1.73689,-11.9611
1.8872,-12.093
2.03271,-12.2301
2.17403,-12.3716
2.31174,-12.5166
2.44686,-12.664
2.58013,-12.8131
2.71215,-12.9634
2.84354,-13.1141
2.97482,-13.265
3.10649,-13.4155
3.23903,-13.5652
3.37284,-13.7139
3.50836,-13.8609
3.64613,-14.0059
3.78685,-14.1479
3.93084,-14.2867
4.07857,-14.4215
4.2308,-14.5511
4.38869,-14.6737
4.55382,-14.7863
4.72941,-14.8808
4.89046,-14.8801
4.98045,-14.7018
5.05237,-14.5153
5.11197,-14.3245
5.16239,-14.131
5.2049,-13.9356
5.24113,-13.7389
5.27266,-13.5415
5.30018,-13.3434
5.32439,-13.1449
5.34605,-12.9461
5.3658,-12.7471
5.38421,-12.548
5.40188,-12.3488
5.41945,-12.1496
5.43763,-11.9504
5.45721,-11.7514
5.47905,-11.5526
5.50403,-11.3542
5.53303,-11.1563
5.56706,-10.9593
5.60826,-10.7637
5.65937,-10.5704
5.71946,-10.3797
5.78948,-10.1925
5.87196,-10.0104
5.96577,-9.83384
6.07162,-9.66449
6.19391,-9.50639
6.32804,-9.35831
6.47481,-9.22269
6.63098,-9.09786
6.79658,-8.98667
6.97478,-8.89602
7.15835,-8.81719
7.34817,-8.75461
7.5418,-8.70491
7.73849,-8.67032
7.93772,-8.65354
8.13752,-8.64654
8.33739,-8.65037
8.53681,-8.66479
8.73555,-8.68682
8.93348,-8.71527
9.13057,-8.74904
9.32691,-8.78701
9.5226,-8.82822
9.71785,-8.87145
9.91281,-8.91594
10.1077,-8.96096
10.3026,-9.00575
10.4977,-9.04971
10.6931,-9.09218
10.8889,-9.13248
11.0854,-9.17008
11.2824,-9.20435
11.48,-9.23452
11.6784,-9.25953
11.8775,-9.27828
12.0771,-9.28927
12.277,-9.28974
12.4764,-9.27607
12.6497,-9.20587
12.6825,-9.02672
12.6364,-8.83235
12.5759,-8.64184
12.5051,-8.45487
12.4266,-8.27096
12.3422,-8.08968
12.253,-7.91072
12.16,-7.7337
12.0639,-7.55832
11.9654,-7.38431
11.8649,-7.21144
11.7629,-7.03939
11.6602,-6.86781
11.5572,-6.6964
11.4545,-6.52477
11.3529,-6.35254
11.253,-6.17932
11.1557,-6.00458
11.0621,-5.82788
10.9731,-5.64884
10.8896,-5.46713
10.8134,-5.28229
10.7469,-5.09379
10.6902,-4.90207
10.6428,-4.70783
10.6124,-4.51048
10.5975,-4.31113
10.5968,-4.11131
10.613,-3.91216
10.6419,-3.71435
10.6928,-3.52153
10.7613,-3.33371
10.8436,-3.15168
10.9407,-2.97698
11.0514,-2.81063
11.1775,-2.65577
11.3149,-2.51058
11.4617,-2.37497
11.6171,-2.24921
11.7789,-2.1317
11.9461,-2.02221
12.1189,-1.9216
12.2954,-1.82761
12.4743,-1.73822
12.655,-1.65264
12.8371,-1.57006
13.0202,-1.48969
13.204,-1.41072
13.388,-1.33241
13.572,-1.2541
13.7557,-1.17519
13.939,-1.0951
14.1215,-1.01334
14.3029,-0.929317
14.483,-0.842367
14.6613,-0.751866
14.8375,-0.657253
15.0108,-0.557415
15.1799,-0.450721
15.3437,-0.3361
15.5003,-0.211908
15.6441,-0.0733462
15.6231,0.0849866
15.4835,0.226378
15.3264,0.349933
15.1615,0.462967
14.9915,0.568219
14.818,0.667519
14.6417,0.76196
14.4633,0.852253
14.2831,0.938936
14.1014,1.02263
13.9188,1.10412
13.7355,1.184
