x,y
-11.5998,-4.01195
-11.5998,-4.01195
-11.5928,-4.21156
-11.6061,-4.41085
-11.6417,-4.60739
-11.6993,-4.79864
-11.7698,-4.98553
-11.8503,-5.16832
-11.9384,-5.34757
-12.032,-5.52404
-12.1295,-5.69838
-12.2296,-5.87122
-12.3315,-6.04302
-12.4342,-6.21434
-12.5371,-6.38552
-12.6396,-6.55692
-12.7413,-6.72885
-12.8416,-6.90157
-12.9402,-7.0753
-13.0365,-7.25032
-13.1298,-7.42692
-13.2197,-7.60529
-13.3057,-7.78557
-13.3871,-7.96796
-13.463,-8.15272
-13.532,-8.34017
-13.5933,-8.53026
-13.6452,-8.72314
-13.6832,-8.91922
-13.7065,-9.1176
-13.7106,-9.31729
-13.6868,-9.51561
-13.6262,-9.70591
-13.5219,-9.87626
-13.3774,-10.0141
-13.2047,-10.1144
-13.0188,-10.1874
-12.8255,-10.2378
-12.6282,-10.2688
-12.4293,-10.2866
-12.2296,-10.2927
-12.0299,-10.29
-11.8305,-10.2793
-11.6315,-10.2617
-11.4331,-10.2385
-11.2353,-10.2106
-11.0382,-10.1786
-10.8416,-10.1429
-10.6457,-10.1041
-10.4502,-10.0631
-10.2551,-10.0204
-10.0603,-9.97629
-9.86564,-9.93145
-9.67103,-9.88645
-9.4763,-9.84198
-9.2813,-9.79876
-9.08577,-9.75795
-8.88959,-9.72039
-8.69247,-9.68812
-8.49434,-9.66281
-8.29517,-9.64772
-8.09545,-9.6454
-7.89613,-9.65844
-7.69872,-9.68886
-7.50875,-9.75054
-7.32777,-9.83506
-7.15987,-9.94323
-7.01681,-10.0826
-6.88866,-10.2358
-6.78627,-10.4073
-6.7054,-10.5899
-6.63915,-10.7784
-6.58641,-10.971
-6.54466,-11.1663
-6.51145,-11.3633
-6.48397,-11.5611
-6.46116,-11.7596
-6.44096,-11.9583
-6.42249,-12.1572
-6.40501,-12.3561
-6.38767,-12.5551
-6.36987,-12.7541
-6.35106,-12.9529
-6.33055,-13.1516
-6.30786,-13.3501
-6.28255,-13.5482
-6.25401,-13.7459
-6.22171,-13.943
-6.18487,-14.1393
-6.14253,-14.3345
-6.09432,-14.5283
-6.03941,-14.7204
-5.97604,-14.9098
-5.90285,-15.0957
-5.81873,-15.2768
-5.71977,-15.4503
-5.60249,-15.612
-5.46453,-15.7564
-5.30116,-15.8713
-5.11541,-15.9447
-4.9165,-15.9626
-4.71787,-15.9417
-4.52576,-15.8871
-4.34071,-15.8119
-4.16293,-15.7209
-3.99204,-15.6175
-3.82737,-15.5044
-3.66844,-15.3835
-3.51402,-15.2568
-3.36366,-15.1253
-3.21711,-14.9896
-3.074,-14.8502
-2.93372,-14.708
-2.79588,-14.5635
-2.66011,-14.417
-2.52611,-14.2689
-2.39354,-14.1194
-2.26194,-13.9692
-2.13085,-13.8185
-1.99984,-13.6677
-1.86832,-13.5174
-1.73568,-13.368
-1.6013,-13.2203
-1.46401,-13.0752
-1.32299,-12.9337
-1.17694,-12.7975
-1.02442,-12.6685
-0.864616,-12.5487
-0.694619,-12.4438
-0.513377,-12.3599
-0.324362,-12.2953
-0.127989,-12.2588
0.0717471,-12.2592
0.270388,-12.28
0.461264,-12.3388
0.643856,-12.4197
0.817617,-12.5182
0.981225,-12.6328
1.13529,-12.7599
1.28263,-12.8948
1.42482,-13.0351
1.56296,-13.1793
1.69814,-13.3264
1.83121,-13.4753
1.96294,-13.6255
2.09406,-13.7762
2.2251,-13.9269
2.35655,-14.0773
2.48886,-14.2269
2.6224,-14.3755
2.75751,-14.5226
2.89465,-14.6678
3.03428,-14.8106
3.17669,-14.9507
3.32218,-15.0875
3.47114,-15.2206
3.6242,-15.349
3.78211,-15.4713
3.94535,-15.5864
4.1144,-15.6927
4.29024,-15.7875
4.473,-15.8681
4.6628,-15.9303
4.86031,-15.9601
5.05999,-15.9556
5.25085,-15.8967
5.42094,-15.792
5.56625,-15.655
5.68895,-15.4974
5.79187,-15.3263
5.88031,-15.1472
5.95655,-14.9625
6.02243,-14.774
6.08013,-14.5828
6.13019,-14.3894
6.17354,-14.1944
6.21159,-13.9983
6.24517,-13.8014
6.27482,-13.6039
6.30094,-13.4059
6.32421,-13.2075
6.34526,-13.0089
6.36459,-12.8101
6.38271,-12.6112
6.40015,-12.4122
6.41759,-12.2132
6.4357,-12.0143
6.45535,-11.8155
6.47764,-11.617
6.5036,-11.419
6.53482,-11.2217
6.57275,-11.0256
6.622,-10.832
6.68468,-10.6424
6.76322,-10.4587
6.85758,-10.2827
6.97676,-10.1224
7.1199,-9.98306
7.27726,-9.86006
7.45658,-9.7721
7.64494,-9.70566
7.84003,-9.66287
8.03912,-9.64669
8.23885,-9.64596
8.43822,-9.65811
8.63668,-9.6807
8.83408,-9.71117
9.03059,-9.74697
9.22627,-9.78706
9.42142,-9.82962
9.61622,-9.87376
9.81083,-9.91873
10.0054,-9.96369
10.2002,-10.0081
10.3952,-10.0514
10.5906,-10.0928
10.7864,-10.132
10.9828,-10.1685
11.1798,-10.2017
11.3774,-10.2311
11.5756,-10.2557
11.7744,-10.2746
11.9737,-10.2875
12.1734,-10.2932
12.3731,-10.2896
12.5724,-10.2756
12.7702,-10.2483
12.9648,-10.203
13.1535,-10.1377
13.3308,-10.0457
13.4846,-9.91832
13.6015,-9.75635
13.6744,-9.57045
13.7064,-9.3733
13.7098,-9.1736
13.6924,-8.97462
13.6568,-8.77808
13.6084,-8.5843
13.55,-8.3933
13.4827,-8.20523
13.4088,-8.01967
13.3292,-7.83647
13.2445,-7.65559
13.1554,-7.4768
13.0629,-7.29978
12.9675,-7.1243
12.8697,-6.95016
12.7698,-6.77716
12.6684,-6.6051
12.566,-6.43361
12.4631,-6.26242
12.3602,-6.09123
12.258,-5.91959
12.1573,-5.74712
12.0587,-5.57339
11.964,-5.39752
11.8741,-5.21915
11.7915,-5.03731
11.7185,-4.85137
11.6578,-4.66107
11.6119,-4.46667
11.5927,-4.26786
11.5985,-4.06821
11.6271,-3.87055
11.696,-3.68306
11.785,-3.50427
11.9008,-3.34153
12.0395,-3.19775
12.1901,-3.06662
12.3513,-2.94864
12.5203,-2.84211
12.6951,-2.74553
12.8731,-2.65499
13.0535,-2.56918
13.2354,-2.4867
13.4184,-2.40662
13.602,-2.32795
13.7859,-2.24989
13.9697,-2.1718
14.1533,-2.09309
14.3364,-2.01324
14.5188,-1.93181
14.7002,-1.84834
14.8805,-1.76226
15.0591,-1.67297
15.236,-1.58012
15.4107,-1.48326
15.5826,-1.38164
15.751,-1.27416
15.9149,-1.16007
16.0738,-1.03902
16.2257,-0.909296
16.3685,-0.769685
16.4993,-0.618708
16.6107,-0.452949
16.6957,-0.272193
16.7416,-0.077814
16.7373,0.121837
16.6793,0.312958
16.5895,0.491328
16.4712,0.652286
16.3379,0.800996
16.1933,0.938785
16.0398,1.06652
15.8797,1.18607
15.7145,1.29827
15.5451,1.40408
15.3724,1.50454
15.1973,1.60056
15.02,1.69265
14.841,1.78125
14.6605,1.86675
14.4788,1.94976
14.2963,2.03082
14.1131,2.11039
13.9294,2.18893
13.7456,2.26696
13.5617,2.34511
13.3783,2.42402
13.1955,2.50459
13.0139,2.58776
12.834,2.67464
12.6567,2.76664
12.483,2.86526
12.3146,2.97267
12.1552,3.09301
12.0081,3.22816
11.8752,3.37721
11.7605,3.54074
11.68,3.72354
11.6186,3.91361
11.5929,4.11168
11.5966,4.31138
11.621,4.50962
11.6683,4.70367
11.7332,4.89258
11.8089,5.0774
11.8936,5.25833
11.9846,5.43611
12.0802,5.61147
12.1793,5.78492
12.2804,5.9572
12.3827,6.12873
12.4856,6.29992
12.5884,6.47117
12.6907,6.64277
12.7918,6.81503
12.8912,6.98827
12.9885,7.16268
13.0834,7.33848
13.1752,7.51586
13.2634,7.69506
13.3471,7.87642
13.4256,8.06009
13.4983,8.24615
13.5641,8.43473
13.6206,8.62632
13.6658,8.82088
13.6971,9.01814
13.7111,9.21738
13.7034,9.41697
13.661,9.61215
13.5818,9.79552
13.4537,9.94875
13.2934,10.0678
13.1132,10.154
12.9231,10.2152
12.7274,10.2552
12.5291,10.279
12.3297,10.291
12.13,10.2926
11.9303,10.2853
11.7311,10.2712
11.5324,10.251
11.3343,10.2253
11.1369,10.195
10.9401,10.161
10.7438,10.1238
10.5481,10.084
10.3528,10.0421
10.1579,9.99851
9.96315,9.95395
9.76854,9.90895
9.5739,9.86411
9.37904,9.82024
9.1838,9.77809
8.98801,9.73854
8.79135,9.70357
8.59376,9.67439
8.39507,9.65391
8.19554,9.64479
7.99586,9.6499
7.79722,9.67084
7.60251,9.71536
7.41748,9.79061
7.24103,9.88417
7.08647,10.0107
6.9508,10.1573
6.83378,10.3191
6.74412,10.4976
6.67052,10.6833
6.61128,10.8741
6.56429,11.0682
6.52727,11.2645
6.4971,11.4619
6.47226,11.6601
6.45071,11.8587
6.43159,12.0575
6.41373,12.2564
6.3964,12.4554
6.3789,12.6544
6.36059,12.8533
6.34096,13.0521
6.31951,13.2507
6.29575,13.449
6.26894,13.6469
6.23835,13.8443
6.20368,14.041
6.16433,14.2368
6.1195,14.4315
6.06792,14.6244
6.00865,14.8152
5.94101,15.0031
5.86239,15.1867
5.77171,15.3647
5.66362,15.5327
5.53645,15.6867
5.38706,15.8193
5.21098,15.9135
5.01645,15.9587
4.81674,15.957
4.62095,15.9176
4.43239,15.8517
4.25104,15.768
4.07642,15.6711
3.9092,15.5618
3.74744,15.4447
3.59057,15.321
3.43837,15.1917
3.29015,15.0578
3.14531,14.9202
3.0035,14.7796
2.86443,14.6362
2.72776,14.4905
2.59302,14.3431
2.45978,14.1943
2.3277,14.0444
2.19639,13.8939
2.06539,13.7431
1.9342,13.5925
1.80227,13.4426
1.66879,13.294
1.53307,13.1474
1.39407,13.004
1.25074,12.8649
1.10165,12.7319
0.945498,12.6074
0.781294,12.4937
0.605219,12.3994
0.419574,12.3257
0.227419,12.2712
0.0282172,12.2565
-0.171257,12.2666
-0.367379,12.3044
-0.553444,12.377
-0.731872,12.4668
-0.900695,12.5735
-1.05909,12.6952
-1.20964,12.8265
-1.35423,12.9643
-1.49431,13.1067
-1.63083,13.2525
-1.76478,13.4006
-1.89713,13.5502
-2.02851,13.7007
-2.15951,13.8515
-2.29069,14.0021
-2.42246,14.1522
-2.55531,14.3014
-2.68967,14.4492
-2.82585,14.5953
-2.96417,14.7394
-3.105,14.881
-3.24875,15.0197
-3.39608,15.1546
-3.54722,15.2852
-3.70249,15.4108
-3.86272,15.5301
-4.02914,15.6405
-4.20143,15.7416
-4.38063,15.8298
-4.56693,15.9018
-4.76103,15.9489
-4.96029,15.9626
-5.15757,15.9315
-5.34023,15.8508
-5.49638,15.7263
-5.63059,15.5783
-5.7424,15.4128
-5.8378,15.2374
-5.91967,15.0552
-5.99095,14.8686
-6.05236,14.6785
-6.1058,14.4861
-6.15267,14.2919
-6.19351,14.0964
-6.22905,13.8998
-6.26036,13.7026
-6.28812,13.5048
-6.31287,13.3066
-6.33509,13.1081
-6.35521,12.9093
-6.37379,12.7105
-6.39147,12.5115
-6.40882,12.3125
-6.4265,12.1136
-6.44534,11.9147
-6.46612,11.716
-6.48998,11.5177
-6.51853,11.32
-6.55273,11.1233
-6.59587,10.9282
-6.65154,10.7364
-6.72195,10.5495
-6.80866,10.3695
-6.91273,10.1991
-7.04671,10.0509
-7.19635,9.91862
-7.36501,9.81165
-7.55012,9.73662
-7.74187,9.68075
-7.93957,9.65228
-8.13916,9.64461
-8.33881,9.65054
-8.53776,9.66826
-8.73568,9.69519
-8.93261,9.72855
-9.12867,9.76672
-9.3241,9.80803
-9.51902,9.85161
-9.71371,9.89627
-9.9083,9.94131
-10.103,9.98605
-10.2978,10.0299
-10.493,10.0723
-10.6886,10.1128
-10.8847,10.1508
-11.0814,10.1857
-11.2787,10.2168
-11.4766,10.2438
-11.6751,10.2659
-11.8742,10.2822
-12.0737,10.2913
-12.2735,10.2923
-12.473,10.2844
-12.6717,10.264
-12.8682,10.228
-13.0603,10.1733
-13.2444,10.0957
-13.4111,9.98578
-13.5505,9.84277
-13.6426,9.66553
-13.6948,9.47276
-13.7112,9.27371
-13.7035,9.07412
-13.6766,8.8762
-13.6344,8.68098
-13.5802,8.48874
-13.5173,8.29916
-13.4469,8.11226
-13.3698,7.928
-13.2873,7.74607
-13.2005,7.5662
-13.1098,7.38821
-13.0158,7.21197
-12.919,7.03727
-12.82,6.86378
-12.7193,6.69127
-12.6174,6.51949
-12.5147,6.34818
-12.4117,6.17703
-12.3091,6.00567
-12.2074,5.83374
-12.1078,5.66062
-12.011,5.48592
-11.9185,5.30889
-11.8318,5.12893
-11.7537,4.9451
-11.6866,4.75696
-11.6326,4.56466
-11.5987,4.36782
-11.5932,4.16815
-11.6081,3.96898
-11.6579,3.77556
-11.7383,3.59271
-11.8383,3.4198
-11.9685,3.26835
-12.1132,3.13064
-12.2694,3.00619
-12.4348,2.89417
-12.6069,2.79292
-12.7836,2.69973
-12.9628,2.61157
-13.1441,2.52767
-13.3266,2.44656
-13.5099,2.36722
-13.6937,2.28894
-13.8776,2.21095
-14.0613,2.13264
-14.2447,2.05351
-14.4275,1.97293
-14.6094,1.89042
-14.7902,1.8056
-14.9698,1.71802
-15.1477,1.62722
-15.3236,1.53262
-15.4968,1.43323
-15.6669,1.32853
-15.8334,1.21813
-15.9951,1.10086
-16.1504,0.97527
-16.2982,0.840954
-16.4355,0.695809
-16.5579,0.537983
-16.6567,0.364398
-16.7261,0.177123
-16.7455,-0.0216541
-16.7129,-0.218687
-16.6379,-0.40377
-16.5325,-0.573436
-16.4062,-0.72817
-16.2667,-0.871139
-16.1173,-1.00362
-15.9607,-1.12763
-15.7976,-1.24295
-15.6301,-1.35169
-15.4591,-1.45499
-15.2853,-1.55335
-15.1089,-1.64714
-14.9306,-1.73724
-14.7508,-1.82423
-14.5698,-1.90854
-14.3877,-1.99061
-14.2047,-2.07084
-14.0213,-2.14977
-13.8375,-2.22797
-13.6536,-2.30597
-13.4699,-2.38443
-13.2867,-2.46411
-13.1044,-2.54576
-12.9236,-2.63061
-12.745,-2.71994
-12.5693,-2.81501
-12.3981,-2.91782
-12.2334,-3.03095
-12.08,-3.15878
-11.9398,-3.30109
-11.8137,-3.45596
-11.7174,-3.63098
-11.647,-3.81788
-11.5998,-4.01195
-10.6135,-3.88052
-10.6003,-3.97941
-10.5933,-4.17911
-10.6017,-4.37865
-10.6201,-4.57752
-10.6556,-4.77416
-10.7058,-4.96742
-10.766,-5.15789
-10.8366,-5.34486
-10.9161,-5.52816
-11.0017,-5.7087
-11.0924,-5.8867
-11.1874,-6.06252
-11.2855,-6.23655
-11.386,-6.40927
-11.4881,-6.58107
-11.5909,-6.75244
-11.6938,-6.92372
-11.7962,-7.09528
-11.8977,-7.26743
-11.9976,-7.44046
-12.0956,-7.61465
-12.1908,-7.79032
-12.2826,-7.96781
-12.3703,-8.14734
-12.4532,-8.32913
-12.5301,-8.51355
-12.5978,-8.70153
-12.6553,-8.89285
-12.6962,-9.08827
-12.6578,-9.24809
-12.4608,-9.2798
-12.2614,-9.29129
-12.0616,-9.29026
-11.8622,-9.27819
-11.6633,-9.2586
-11.4651,-9.23312
-11.2676,-9.20279
-11.0709,-9.16816
-10.8747,-9.13006
-10.6791,-9.08938
-10.4838,-9.04676
-10.2889,-9.00275
-10.0942,-8.95791
-9.8995,-8.91289
-9.70469,-8.86839
-9.50961,-8.82509
-9.31405,-8.78405
-9.1179,-8.74594
-8.92095,-8.71221
-8.72317,-8.68392
-8.52457,-8.66223
-8.32525,-8.64817
-8.12544,-8.64568
-7.92589,-8.65435
-7.72702,-8.67269
-7.52954,-8.70327
-7.33677,-8.75499
-7.14722,-8.81818
-6.96526,-8.90068
-6.78829,-8.99306
-6.62031,-9.10128
-6.46392,-9.22514
-6.32079,-9.36458
-6.18853,-9.51421
-6.06391,-9.6703
-5.9598,-9.84082
-5.86553,-10.0168
-5.78474,-10.1996
-5.71661,-10.3874
-5.65719,-10.5781
-5.60651,-10.7713
-5.56478,-10.9667
-5.531,-11.1637
-5.50211,-11.3614
-5.47755,-11.5597
-5.45613,-11.7584
-5.43675,-11.9572
-5.41872,-12.1562
-5.40129,-12.3553
-5.38374,-12.5544
-5.36547,-12.7533
-5.34582,-12.9522
-5.32412,-13.1508
-5.29985,-13.3492
-5.27234,-13.5471
-5.24091,-13.7444
-5.20465,-13.9409
-5.16143,-14.136
-5.11114,-14.3294
-5.05192,-14.5202
-4.98084,-14.7069
-4.89092,-14.8851
-4.73179,-14.8887
-4.55767,-14.7909
-4.39283,-14.6781
-4.23539,-14.5551
-4.08299,-14.4259
-3.9351,-14.2915
-3.79124,-14.1529
-3.65067,-14.0108
-3.51295,-13.8661
-3.37739,-13.7193
-3.24363,-13.5708
-3.11125,-13.4211
-2.97973,-13.2707
-2.8486,-13.1199
-2.7174,-12.9692
-2.58554,-12.819
-2.4525,-12.6699
-2.31771,-12.5224
-2.18028,-12.3774
-2.03925,-12.2358
-1.89388,-12.0987
-1.74362,-11.9671
-1.58831,-11.8414
-1.42784,-11.7224
-1.25833,-11.6166
-1.0828,-11.5215
-0.901219,-11.4381
-0.712945,-11.3713
-0.521438,-11.3149
-0.324997,-11.2783
-0.126449,-11.2588
0.073376,-11.2592
0.272487,-11.2747
0.470584,-11.3002
0.662795,-11.3545
0.852039,-11.4183
1.03476,-11.4992
1.21155,-11.5921
1.38348,-11.6937
1.54719,-11.8083
1.70369,-11.9325
1.85493,-12.063
2.00126,-12.199
2.14332,-12.3395
2.28153,-12.4839
2.417,-12.6308
2.55047,-12.7795
2.68256,-12.9294
2.81389,-13.08
2.945,-13.2308
3.0764,-13.3814
3.20857,-13.5312
3.34191,-13.6801
3.47684,-13.8275
3.61385,-13.9729
3.75372,-14.1156
3.89675,-14.2551
4.04337,-14.3909
4.19422,-14.5219
4.35038,-14.6465
4.51325,-14.7622
4.68494,-14.8642
4.86294,-14.9306
4.95854,-14.7553
5.03425,-14.5705
5.09657,-14.3807
5.14937,-14.188
5.19386,-13.9932
5.2315,-13.797
5.26423,-13.5998
5.29278,-13.4021
5.31779,-13.2038
5.34004,-13.0052
5.36023,-12.8064
5.3789,-12.6075
5.39665,-12.4085
5.41409,-12.2094
5.43192,-12.0104
5.45087,-11.8114
5.47184,-11.6127
5.49566,-11.4143
5.52321,-11.2164
5.55544,-11.0192
5.59348,-10.8231
5.64175,-10.6292
5.69908,-10.4378
5.76516,-10.2493
5.84373,-10.0656
5.93467,-9.88775
6.03447,-9.71479
6.15319,-9.55406
6.2828,-9.40234
6.42601,-9.26298
6.58001,-9.13582
6.74019,-9.01652
6.91668,-8.9231
7.09772,-8.83871
7.28604,-8.77187
7.47836,-8.71843
7.67378,-8.67679
7.87254,-8.65693
8.072,-8.64656
8.27181,-8.64651
8.47129,-8.65827
8.67009,-8.67804
8.86811,-8.70458
9.0653,-8.73683
9.26172,-8.77355
9.45741,-8.81397
9.65262,-8.85665
9.8475,-8.90085
10.0422,-8.94584
10.2369,-8.9908
10.4317,-9.03514
10.6269,-9.07825
10.8224,-9.11938
11.0185,-9.15799
11.2151,-9.19353
11.4124,-9.22528
11.6103,-9.2523
11.809,-9.27339
12.0083,-9.28763
12.2081,-9.29241
12.4077,-9.28469
12.6058,-9.25984
12.7031,-9.14023
12.6675,-8.94384
12.6138,-8.75144
12.5485,-8.56262
12.4739,-8.37727
12.3927,-8.19468
12.3061,-8.01461
12.2152,-7.83669
12.1208,-7.66056
12.0237,-7.48595
11.9243,-7.31261
11.8231,-7.1403
11.7208,-6.96866
11.6179,-6.79736
11.5149,-6.62609
11.4126,-6.45444
11.3116,-6.28203
11.2126,-6.10848
11.1167,-5.93317
11.0247,-5.75577
10.9378,-5.57588
10.8569,-5.39321
10.784,-5.20716
10.7218,-5.01728
10.669,-4.82468
10.6253,-4.62972
10.6038,-4.43109
10.5933,-4.23173
10.5991,-4.03199
10.622,-3.83361
10.6549,-3.63659
9.69074,-3.38937
9.71623,-3.28995
9.77944,-3.10025
9.85158,-2.91375
9.9354,-2.73232
10.028,-2.55518
10.1304,-2.38344
10.2448,-2.21943
10.3677,-2.06195
10.5006,-1.91249
10.6408,-1.77
10.7885,-1.63524
10.9419,-1.50713
11.1008,-1.38565
11.2646,-1.27105
11.4332,-1.1635
11.6058,-1.06268
11.7817,-0.967552
11.9597,-0.876603
12.1397,-0.78939
12.3211,-0.705328
12.5037,-0.623785
12.6871,-0.544132
12.871,-0.465541
13.055,-0.387364
13.239,-0.308987
