x,y
1.03035,-2.53476
1.22697,-2.51165
1.41422,-2.46633
1.56859,-2.34197
1.71845,-2.21219
1.86476,-2.07839
2.01289,-1.94662
2.16344,-1.81762
2.28363,-1.66635
2.34576,-1.47819
2.39407,-1.28594
2.43751,-1.09249
2.47579,-0.897965
2.50792,-0.702333
2.53314,-0.505697
2.55286,-0.308418
2.55634,-0.112397
2.52692,0.0824907
2.44253,0.260591
2.36085,0.441247
2.27928,0.621953
2.19667,0.802183
2.07399,0.946162
1.91199,1.06046
1.74854,1.17266
1.58394,1.28317
1.42072,1.39573
1.24856,1.49303
1.0881,1.57661
0.890258,1.5895
0.692313,1.60046
0.495482,1.61671
0.311102,1.66487
0.142461,1.56939
-0.0181113,1.4531
-0.178414,1.33643
-0.338471,1.21943
-0.498155,1.10192
-0.659091,0.986125
-0.820182,0.870549
-0.980697,0.754178
-1.13455,0.629619
-1.21734,0.450255
-1.30049,0.273036
-1.35642,0.0850117
-1.343,-0.109197
-1.30557,-0.303894
-1.27067,-0.499053
-1.23771,-0.694556
-1.20554,-0.89019
-1.1728,-1.08573
-1.13939,-1.28116
-1.09787,-1.47468
-0.991682,-1.64061
-0.89174,-1.81142
-0.742608,-1.9419
-0.589923,-2.06836
-0.43877,-2.19666
-0.290123,-2.32785
-0.13626,-2.4519
0.0573258,-2.49025
0.254185,-2.51374
0.451715,-2.53037
0.649312,-2.5465
0.846701,-2.56504
