x,y
-0.130068,-13.005
-0.0584105,-12.8184
0.0132474,-12.6317
-0.00835264,-12.5085
-0.207908,-12.5187
-0.405979,-12.5451
-0.601347,-12.5871
-0.793621,-12.6418
-0.981385,-12.7102
-1.16497,-12.7893
-1.34541,-12.8754
-1.52335,-12.9666
-1.69928,-13.0616
-1.87389,-13.159
-2.04804,-13.2572
-2.22253,-13.3549
-2.39798,-13.4508
-2.57497,-13.5438
-2.75399,-13.6328
-2.93539,-13.7169
-3.11877,-13.7966
-3.30271,-13.875
-3.48726,-13.952
-3.67288,-14.0263
-3.85984,-14.0972
-4.04859,-14.1631
-4.24132,-14.2159
-4.43763,-14.2533
-4.63522,-14.2389
-4.79714,-14.1312
-4.93478,-13.9865
-5.05724,-13.8287
-5.17189,-13.6649
-5.28208,-13.498
-5.38876,-13.3289
-5.49267,-13.1581
-5.59541,-12.9865
-5.69698,-12.8143
-5.79385,-12.6394
-5.88582,-12.4619
-5.97387,-12.2824
-6.05902,-12.1015
-6.14231,-11.9197
-6.22486,-11.7376
-6.30845,-11.5559
-6.39498,-11.3757
-6.48566,-11.1975
-6.58145,-11.022
-6.68455,-10.8507
-6.79677,-10.6853
-6.91816,-10.5264
-7.05187,-10.3779
-7.19834,-10.242
-7.35577,-10.1189
-7.52268,-10.009
-7.69667,-9.91059
-7.87928,-9.82956
-8.06767,-9.76278
-8.25998,-9.70822
-8.45497,-9.66414
-8.65163,-9.62815
-8.8492,-9.59739
-9.04736,-9.57079
-9.24592,-9.54725
-9.44464,-9.52502
-9.64329,-9.50222
-9.84169,-9.47743
-10.0397,-9.4494
-10.237,-9.417
-10.4333,-9.37909
-10.6285,-9.33604
-10.8233,-9.2906
-11.0176,-9.24349
-11.2113,-9.19404
-11.4042,-9.14121
-11.5954,-9.08302
-11.7827,-9.01299
-11.9627,-8.92619
-12.1103,-8.7934
-12.1846,-8.61041
-12.2118,-8.41279
-12.2174,-8.21301
-12.2133,-8.01311
-12.2041,-7.81338
-12.1901,-7.61392
-12.1732,-7.41469
-12.1553,-7.21554
-12.136,-7.01652
-12.1118,-6.81804
-12.0822,-6.62031
-12.0481,-6.42327
-12.011,-6.2268
-11.9721,-6.03068
-11.9326,-5.83467
-11.8939,-5.6385
-11.8582,-5.44174
-11.8278,-5.24413
-11.8029,-5.04574
-11.7836,-4.84673
-11.7766,-4.64694
-11.7839,-4.44716
-11.8068,-4.24858
-11.8452,-4.05239
-11.8972,-3.85937
-11.9676,-3.67228
-12.0537,-3.49188
-12.1541,-3.31903
-12.2675,-3.15437
-12.3905,-2.99681
-12.5209,-2.8452
-12.659,-2.70066
-12.8011,-2.55996
-12.9458,-2.42202
-13.0923,-2.28591
-13.2394,-2.15051
-13.3862,-2.01478
-13.5318,-1.87772
-13.6752,-1.73834
-13.8154,-1.59577
-13.9514,-1.44919
-14.0836,-1.29924
-14.2148,-1.14833
-14.3451,-0.99664
-14.4736,-0.843448
-14.5996,-0.688194
-14.7201,-0.52862
-14.8298,-0.361491
-14.927,-0.186817
-14.9867,0.00377772
-14.9252,0.192362
-14.8295,0.367825
-14.716,0.532371
-14.5965,0.692685
-14.4716,0.848809
-14.3423,1.00136
-14.2116,1.15263
-14.0803,1.30345
-13.9478,1.45325
-13.8117,1.59973
-13.6716,1.74232
-13.5283,1.88176
-13.3828,2.01892
-13.236,2.15469
-13.0888,2.29001
-12.942,2.42582
-12.7965,2.56291
-12.6545,2.7037
-12.5177,2.84951
-12.3863,3.00023
-12.2636,3.15809
-12.1514,3.32365
-12.0507,3.49638
-11.9646,3.67681
-11.8957,3.86451
-11.8429,4.05735
-11.8058,4.25383
-11.782,4.45236
-11.7762,4.65222
-11.7841,4.85202
-11.8012,5.05123
-11.8267,5.24956
-11.8588,5.44692
-11.8944,5.64367
-11.9324,5.83999
-11.9714,6.03609
-12.0102,6.23224
-12.0471,6.42876
-12.0809,6.62583
-12.1103,6.82361
-12.1341,7.02215
-12.1523,7.22127
-12.1701,7.42043
-12.1868,7.61968
-12.2017,7.81908
-12.2131,8.0187
-12.217,8.21861
-12.2106,8.41845
-12.1863,8.61681
-12.111,8.80117
-11.9579,8.92913
-11.7775,9.01519
-11.5891,9.08205
-11.3983,9.14181
-11.2054,9.1944
-11.0113,9.24245
-10.8167,9.28843
-10.6219,9.33345
-10.4269,9.37793
-10.2307,9.41605
-10.0334,9.44852
-9.83539,9.47657
-9.63699,9.50148
-9.43838,9.5246
-9.23971,9.54722
-9.04115,9.5708
-8.84291,9.59685
-8.64533,9.62752
-8.44894,9.66499
-8.25419,9.71027
-8.06156,9.76373
-7.87328,9.83088
-7.69147,9.91397
-7.51697,10.0115
-7.35057,10.1223
-7.19304,10.2453
-7.04729,10.3821
-6.91391,10.531
-6.79221,10.6896
-6.68128,10.8559
-6.57863,11.0275
-6.48193,11.2025
-6.39252,11.3813
-6.30703,11.5621
-6.22347,11.7437
-6.14069,11.9257
-6.0575,12.1076
-5.97258,12.2886
-5.88475,12.4682
-5.79294,12.6458
-5.69618,12.8208
-5.5947,12.9931
-5.49116,13.1641
-5.38677,13.3347
-5.2806,13.5041
-5.17099,13.6713
-5.05438,13.8337
-4.93031,13.9904
-4.79268,14.1351
-4.63044,14.2449
-4.43158,14.2545
-4.23545,14.2162
-4.04354,14.1601
-3.85421,14.0959
-3.66779,14.0236
-3.48263,13.9481
-3.29818,13.8709
-3.11416,13.7927
-2.93077,13.7131
-2.74926,13.6292
-2.57025,13.5402
-2.39327,13.4471
-2.21783,13.3512
-2.04325,13.2537
-1.86883,13.1559
-1.6939,13.0591
-1.51785,12.9643
-1.3401,12.8727
-1.15985,12.7862
-0.975727,12.7083
-0.787865,12.6401
-0.595719,12.585
-0.400082,12.544
-0.201979,12.5176
-0.00241722,12.5076
0.197215,12.5169
0.395382,12.5429
0.591,12.584
0.783338,12.6383
0.971379,12.7062
1.15532,12.7845
1.33624,12.8696
1.51436,12.9604
1.69036,13.0553
1.86516,13.1524
2.03958,13.2502
2.21428,13.3475
2.38987,13.4431
2.56695,13.5359
2.74605,13.6248
2.92752,13.7088
3.11097,13.7883
3.29479,13.867
3.47899,13.9448
3.66404,14.0205
3.85065,14.0923
4.03976,14.1571
4.23172,14.2128
4.42772,14.2489
4.6232,14.2335
4.79311,14.1315
4.93173,13.9878
5.05492,13.8304
5.17056,13.6673
5.27987,13.4999
5.3859,13.3304
5.49002,13.1597
5.59294,12.9882
5.69423,12.8159
5.7913,12.6411
5.88341,12.4636
5.97157,12.2841
6.05685,12.1033
6.14031,11.9216
6.22321,11.7396
6.30709,11.5581
6.39348,11.3778
6.48381,11.1994
6.57989,11.0241
6.68336,10.8531
6.79533,10.6875
6.91684,10.5288
7.05003,10.3799
7.19662,10.2442
7.35389,10.1209
7.52034,10.0103
7.69484,9.91295
7.87685,9.83055
8.06514,9.76359
8.25751,9.70927
8.45249,9.66513
8.64902,9.6284
8.84653,9.59732
9.04474,9.57102
9.2433,9.5475
9.44199,9.52503
9.6406,9.50195
9.83898,9.47692
10.0369,9.4487
10.2342,9.41608
10.4304,9.37788
10.6256,9.33452
10.8204,9.28928
11.0149,9.24291
11.2088,9.19425
11.4015,9.14107
11.5924,9.08166
11.78,9.01278
11.9599,8.9262
12.1087,8.80163
12.1853,8.62004
12.2098,8.42185
12.2167,8.22208
12.2136,8.02219
12.2033,7.82251
12.1894,7.62305
12.1731,7.42376
12.1556,7.22458
12.1364,7.02556
12.1125,6.82706
12.0831,6.6293
12.0492,6.43225
12.0122,6.23575
11.9734,6.0396
11.9341,5.84354
11.8958,5.64729
11.8603,5.45053
11.8291,5.25304
11.8037,5.05474
11.7853,4.85566
11.7775,4.65599
11.7845,4.45629
11.8066,4.2577
11.8439,4.0614
11.8962,3.86854
11.9648,3.68099
12.0509,3.50067
