x,y
-0.130068,-13.005
-0.130068,-13.005
0.0695941,-13.0041
0.268301,-13.0237
0.464422,-13.0611
0.656237,-13.1165
0.841587,-13.1908
1.02143,-13.2775
1.19617,-13.3741
1.36628,-13.4786
1.53254,-13.5892
1.69582,-13.7041
1.8569,-13.8221
2.01656,-13.942
2.17563,-14.0627
2.33473,-14.1833
2.49448,-14.3031
2.65547,-14.4212
2.81822,-14.5369
2.98328,-14.6492
3.15112,-14.7574
3.32227,-14.8602
3.49713,-14.9566
3.67624,-15.0448
3.85968,-15.1237
4.04858,-15.1883
4.24224,-15.2369
4.43976,-15.2662
4.63936,-15.2713
4.83691,-15.2423
5.02758,-15.1831
5.20476,-15.091
5.3658,-14.973
5.51116,-14.8362
5.63969,-14.6834
5.75496,-14.5203
5.85886,-14.3498
5.95294,-14.1737
6.03872,-13.9934
6.1175,-13.81
6.19028,-13.624
6.25826,-13.4363
6.32221,-13.2471
6.3832,-13.057
6.4421,-12.8662
6.49992,-12.6751
6.55755,-12.484
6.61607,-12.2931
6.67643,-12.1027
6.74041,-11.9136
6.80935,-11.7262
6.88491,-11.5414
6.96896,-11.3603
7.06331,-11.1843
7.16924,-11.0151
7.28734,-10.8541
7.42193,-10.7066
7.57215,-10.5751
7.73397,-10.4581
7.9064,-10.3574
8.08988,-10.2787
8.27967,-10.2167
8.47358,-10.1691
8.6703,-10.1349
8.86863,-10.1119
9.06783,-10.0982
9.26739,-10.0917
9.46705,-10.0899
9.66671,-10.0913
9.86634,-10.0948
10.066,-10.099
10.2656,-10.103
10.4652,-10.1057
10.6649,-10.1062
10.8646,-10.1036
11.0641,-10.0967
11.2634,-10.0844
11.4621,-10.0653
11.66,-10.0386
11.8563,-10.0023
12.0503,-9.95509
12.2405,-9.89424
12.4249,-9.81765
12.599,-9.71986
12.7593,-9.6009
12.8996,-9.45878
13.0114,-9.29336
13.0964,-9.1127
13.1511,-8.92069
13.1825,-8.72351
13.194,-8.52418
13.1893,-8.32457
13.1706,-8.12579
13.1406,-7.92839
13.1023,-7.73244
13.0566,-7.53808
13.005,-7.34517
12.9487,-7.15361
12.8887,-6.96318
12.8259,-6.77365
12.7612,-6.58475
12.6956,-6.39617
12.6301,-6.20757
12.5656,-6.01859
12.5034,-5.82886
12.4449,-5.63795
12.3918,-5.44548
12.3457,-5.2512
12.3087,-5.05501
12.2824,-4.85708
12.2723,-4.65767
12.2803,-4.45816
12.3063,-4.2602
12.3502,-4.06543
12.4176,-3.87747
12.5057,-3.6983
12.6092,-3.52758
12.7273,-3.36658
12.8586,-3.21617
13.0005,-3.07572
13.1492,-2.94249
13.3033,-2.81546
13.4613,-2.69345
13.6221,-2.5751
13.7847,-2.45921
13.9484,-2.3448
14.1123,-2.23089
14.276,-2.11657
14.4389,-2.00107
14.6003,-1.88357
14.7598,-1.76339
14.9165,-1.63964
15.0698,-1.51177
15.2187,-1.37866
15.3622,-1.23987
15.4984,-1.0939
15.6251,-0.939563
15.7402,-0.776406
15.8399,-0.603439
15.9212,-0.421056
15.9739,-0.228484
15.9971,-0.0301738
15.9848,0.169101
15.939,0.363426
15.8673,0.549794
15.7724,0.72546
15.6611,0.891174
15.5371,1.04768
15.4038,1.19631
15.2626,1.3375
15.1156,1.47268
14.9633,1.60181
14.8076,1.72675
14.6488,1.84773
14.4879,1.96599
14.3253,2.08192
14.1618,2.19653
13.9978,2.31044
13.834,2.42458
13.671,2.53987
13.5095,2.65728
13.3503,2.77783
13.1946,2.90284
13.0442,3.03413
12.901,3.17327
12.7669,3.32118
12.6439,3.47848
12.5337,3.645
12.4408,3.82171
12.3705,4.00861
12.3182,4.20128
12.2839,4.39797
12.272,4.59728
12.2793,4.79681
12.3004,4.99536
12.3336,5.19225
12.3768,5.38718
12.4279,5.5802
12.4849,5.77154
12.5463,5.96153
12.6103,6.15067
12.6758,6.3393
12.7415,6.52782
12.8067,6.71655
12.8702,6.90587
12.9313,7.09596
12.9887,7.28719
13.0418,7.47966
13.0892,7.67362
13.1298,7.86911
13.1621,8.06615
13.1842,8.26459
13.1941,8.46401
13.1892,8.66362
13.1629,8.86155
13.1148,9.05533
13.0413,9.24098
12.9356,9.41035
12.8046,9.56098
12.6493,9.68648
12.4781,9.78924
12.2968,9.87288
12.1085,9.93924
11.9153,9.98953
11.7195,10.0287
11.5219,10.0579
11.3234,10.0789
11.1242,10.0931
10.9247,10.1017
10.7251,10.1056
10.5255,10.1061
10.3258,10.104
10.1262,10.1003
9.92655,10.096
9.72692,10.0922
9.52726,10.0901
9.3276,10.0909
9.128,10.0962
8.92867,10.1077
8.72999,10.1276
8.53261,10.1577
8.33741,10.1997
8.14596,10.2564
7.96171,10.3333
7.78554,10.4273
7.61868,10.5369
7.46456,10.6638
7.32799,10.8095
7.20419,10.9661
7.09334,11.1322
6.99505,11.306
6.90856,11.486
6.8315,11.6702
6.76105,11.857
6.69574,12.0457
6.63427,12.2356
6.57518,12.4264
6.51729,12.6175
6.45955,12.8086
6.40099,12.9995
6.34063,13.1898
6.27766,13.3793
6.21107,13.5675
6.14007,13.7541
6.06347,13.9385
5.98037,14.1201
5.88858,14.2974
5.78767,14.4697
5.67538,14.6348
5.55098,14.7909
5.41228,14.9346
5.25515,15.0578
5.0825,15.158
4.89571,15.2286
4.69931,15.2645
4.49978,15.2714
4.30146,15.2484
4.10673,15.2042
3.91637,15.144
3.73103,15.0697
3.55032,14.9848
3.37439,14.8904
3.20228,14.7892
3.03356,14.6824
2.86777,14.5712
2.70439,14.4564
2.54294,14.3389
2.38286,14.2196
2.22361,14.0991
2.06458,13.9784
1.90514,13.8582
1.74456,13.7395
1.58204,13.6236
1.41685,13.5114
1.24819,13.4045
1.07532,13.3046
0.897031,13.2147
0.712427,13.1387
0.522358,13.0775
0.327839,13.0325
0.130068,13.005
-0.0695941,13.0041
-0.268301,13.0237
-0.464422,13.0611
-0.656237,13.1165
-0.841587,13.1908
-1.02143,13.2775
-1.19617,13.3741
-1.36628,13.4786
-1.53254,13.5892
-1.69582,13.7041
-1.8569,13.8221
-2.01656,13.942
-2.17563,14.0627
-2.33473,14.1833
-2.49448,14.3031
-2.65547,14.4212
-2.81822,14.5369
-2.98328,14.6492
-3.15112,14.7574
-3.32227,14.8602
-3.49713,14.9566
-3.67624,15.0448
-3.85968,15.1237
-4.04858,15.1883
-4.24224,15.2369
-4.43976,15.2662
-4.63936,15.2713
-4.83691,15.2423
-5.02758,15.1831
-5.20476,15.091
-5.3658,14.973
-5.51116,14.8362
-5.63969,14.6834
-5.75496,14.5203
-5.85886,14.3498
-5.95294,14.1737
-6.03872,13.9934
-6.1175,13.81
-6.19028,13.624
-6.25826,13.4363
-6.32221,13.2471
-6.3832,13.057
-6.4421,12.8662
-6.49992,12.6751
-6.55755,12.484
-6.61607,12.2931
-6.67643,12.1027
-6.74041,11.9136
-6.80935,11.7262
-6.88491,11.5414
-6.96896,11.3603
-7.06331,11.1843
-7.16924,11.0151
-7.28734,10.8541
-7.42193,10.7066
-7.57215,10.5751
-7.73397,10.4581
-7.9064,10.3574
-8.08988,10.2787
-8.27967,10.2167
-8.47358,10.1691
-8.6703,10.1349
-8.86863,10.1119
-9.06783,10.0982
-9.26739,10.0917
-9.46705,10.0899
-9.66671,10.0913
-9.86634,10.0948
-10.066,10.099
-10.2656,10.103
-10.4652,10.1057
-10.6649,10.1062
-10.8646,10.1036
-11.0641,10.0967
-11.2634,10.0844
-11.4621,10.0653
-11.66,10.0386
-11.8563,10.0023
-12.0503,9.95509
-12.2405,9.89424
-12.4249,9.81765
-12.599,9.71986
-12.7593,9.6009
-12.8996,9.45878
-13.0114,9.29336
-13.0964,9.1127
-13.1511,8.92069
-13.1825,8.72351
-13.194,8.52418
-13.1893,8.32457
-13.1706,8.12579
-13.1406,7.92839
-13.1023,7.73244
-13.0566,7.53808
-13.005,7.34517
-12.9487,7.15361
-12.8887,6.96318
-12.8259,6.77365
-12.7612,6.58475
-12.6956,6.39617
-12.6301,6.20757
-12.5656,6.01859
-12.5034,5.82886
-12.4449,5.63795
-12.3918,5.44548
-12.3457,5.2512
-12.3087,5.05501
-12.2824,4.85708
-12.2723,4.65767
-12.2803,4.45816
-12.3063,4.2602
-12.3502,4.06543
-12.4176,3.87747
-12.5057,3.6983
-12.6092,3.52758
-12.7273,3.36658
-12.8586,3.21617
-13.0005,3.07572
-13.1492,2.94249
-13.3033,2.81546
-13.4613,2.69345
-13.6221,2.5751
-13.7847,2.45921
-13.9484,2.3448
-14.1123,2.23089
-14.276,2.11657
-14.4389,2.00107
-14.6003,1.88357
-14.7598,1.76339
-14.9165,1.63964
-15.0698,1.51177
-15.2187,1.37866
-15.3622,1.23987
-15.4984,1.0939
-15.6251,0.939563
-15.7402,0.776406
-15.8399,0.603439
-15.9212,0.421056
-15.9739,0.228484
-15.9971,0.0301738
-15.9848,-0.169101
-15.939,-0.363426
-15.8673,-0.549794
-15.7724,-0.72546
-15.6611,-0.891174
-15.5371,-1.04768
-15.4038,-1.19631
-15.2626,-1.3375
-15.1156,-1.47268
-14.9633,-1.60181
-14.8076,-1.72675
-14.6488,-1.84773
-14.4879,-1.96599
-14.3253,-2.08192
-14.1618,-2.19653
-13.9978,-2.31044
-13.834,-2.42458
-13.671,-2.53987
-13.5095,-2.65728
-13.3503,-2.77783
-13.1946,-2.90284
-13.0442,-3.03413
-12.901,-3.17327
-12.7669,-3.32118
-12.6439,-3.47848
-12.5337,-3.645
-12.4408,-3.82171
-12.3705,-4.00861
-12.3182,-4.20128
-12.2839,-4.39797
-12.272,-4.59728
-12.2793,-4.79681
-12.3004,-4.99536
-12.3336,-5.19225
-12.3768,-5.38718
-12.4279,-5.5802
-12.4849,-5.77154
-12.5463,-5.96153
-12.6103,-6.15067
-12.6758,-6.3393
-12.7415,-6.52782
-12.8067,-6.71655
-12.8702,-6.90587
-12.9313,-7.09596
-12.9887,-7.28719
-13.0418,-7.47966
-13.0892,-7.67362
-13.1298,-7.86911
-13.1621,-8.06615
-13.1842,-8.26459
-13.1941,-8.46401
-13.1892,-8.66362
-13.1629,-8.86155
-13.1148,-9.05533
-13.0413,-9.24098
-12.9356,-9.41035
-12.8046,-9.56098
-12.6493,-9.68648
-12.4781,-9.78924
-12.2968,-9.87288
-12.1085,-9.93924
-11.9153,-9.98953
-11.7195,-10.0287
-11.5219,-10.0579
-11.3234,-10.0789
-11.1242,-10.0931
-10.9247,-10.1017
-10.7251,-10.1056
-10.5255,-10.1061
-10.3258,-10.104
-10.1262,-10.1003
-9.92655,-10.096
-9.72692,-10.0922
-9.52726,-10.0901
-9.3276,-10.0909
-9.128,-10.0962
-8.92867,-10.1077
-8.72999,-10.1276
-8.53261,-10.1577
-8.33741,-10.1997
-8.14596,-10.2564
-7.96171,-10.3333
-7.78554,-10.4273
-7.61868,-10.5369
-7.46456,-10.6638
-7.32799,-10.8095
-7.20419,-10.9661
-7.09334,-11.1322
-6.99505,-11.306
-6.90856,-11.486
-6.8315,-11.6702
-6.76105,-11.857
-6.69574,-12.0457
-6.63427,-12.2356
-6.57518,-12.4264
-6.51729,-12.6175
-6.45955,-12.8086
-6.40099,-12.9995
-6.34063,-13.1898
-6.27766,-13.3793
-6.21107,-13.5675
-6.14007,-13.7541
-6.06347,-13.9385
-5.98037,-14.1201
-5.88858,-14.2974
-5.78767,-14.4697
-5.67538,-14.6348
-5.55098,-14.7909
-5.41228,-14.9346
-5.25515,-15.0578
-5.0825,-15.158
-4.89571,-15.2286
-4.69931,-15.2645
-4.49978,-15.2714
-4.30146,-15.2484
-4.10673,-15.2042
-3.91637,-15.144
-3.73103,-15.0697
-3.55032,-14.9848
-3.37439,-14.8904
-3.20228,-14.7892
-3.03356,-14.6824
-2.86777,-14.5712
-2.70439,-14.4564
-2.54294,-14.3389
-2.38286,-14.2196
-2.22361,-14.0991
-2.06458,-13.9784
-1.90514,-13.8582
-1.74456,-13.7395
-1.58204,-13.6236
-1.41685,-13.5114
-1.24819,-13.4045
-1.07532,-13.3046
-0.897031,-13.2147
-0.712427,-13.1387
-0.522358,-13.0775
-0.327839,-13.0325
-0.130068,-13.005
-0.166209,-12.5156
-0.0629568,-12.508
0.136786,-12.5098
0.335192,-12.5329
0.531541,-12.5688
0.724552,-12.6193
0.913661,-12.6832
1.09883,-12.7581
1.27952,-12.8432
1.45771,-12.9335
1.63407,-13.0273
1.80896,-13.1238
1.98298,-13.2218
2.15692,-13.32
2.33154,-13.417
2.5075,-13.5116
2.68535,-13.6025
2.8655,-13.6887
3.04809,-13.7697
3.23194,-13.8478
3.41619,-13.9249
3.60128,-14
3.78747,-14.0723
3.97515,-14.1407
4.16591,-14.1996
4.36072,-14.2435
4.55848,-14.2528
4.73631,-14.1845
4.88135,-14.048
5.0092,-13.8947
5.12601,-13.7327
5.23795,-13.5672
5.34563,-13.399
5.45031,-13.2289
5.55339,-13.0578
5.65561,-12.8862
5.75466,-12.7128
5.84837,-12.5364
5.93772,-12.3577
6.02375,-12.1775
6.10751,-11.9961
6.19023,-11.8143
6.27323,-11.6326
6.35792,-11.4517
6.44591,-11.2724
6.53994,-11.0962
6.63977,-10.9232
6.74666,-10.7545
6.86388,-10.593
6.99241,-10.4403
7.13166,-10.2972
6.79883,-9.93382
6.87837,-9.86097
7.03508,-9.73683
7.19902,-9.62234
7.37176,-9.52178
7.54888,-9.42909
7.73053,-9.34584
7.91642,-9.27235
8.10543,-9.20712
8.29572,-9.14572
8.48751,-9.08914
8.68016,-9.03559
8.87298,-8.98265
9.0655,-8.92861
9.25731,-8.87213
9.44789,-8.81165
9.63656,-8.74551
9.82419,-8.6764
10.0114,-8.60602
10.1978,-8.53368
10.3838,-8.46047
10.571,-8.3902
10.7592,-8.32248
10.9477,-8.25585
11.1353,-8.18662
11.231,-8.01726
11.2508,-7.81869
11.259,-7.6189
11.2683,-7.41916
11.2814,-7.21963
11.2969,-7.02028
11.3116,-6.82086
11.3242,-6.62131
11.3321,-6.42154
11.3326,-6.22161
11.3273,-6.02174
11.3182,-5.82199
11.3069,-5.62236
11.2949,-5.42276
11.2836,-5.22313
11.2745,-5.02338
11.2707,-4.82346
11.2742,-4.62354
11.2861,-4.42398
11.3086,-4.22542
11.3424,-4.02845
11.3877,-3.83381
11.4448,-3.64216
11.5195,-3.45671
11.6059,-3.27648
11.7028,-3.10171
11.8079,-2.9317
11.9191,-2.76553
12.0358,-2.6032
12.1579,-2.44485
12.2832,-2.28896
12.4094,-2.13388
12.5353,-1.97851
12.6594,-1.82179
12.7808,-1.66286
12.8979,-1.50086
13.0095,-1.33495
13.118,-1.16702
13.2251,-0.998135
13.3306,-0.828296
13.4378,-0.659467
13.5482,-0.492781
13.6603,-0.327212
13.768,-0.158839
13.8489,0.0236561
13.7491,0.191194
13.6357,0.355897
13.5225,0.520773
13.4118,0.687246
13.3035,0.855375
13.1957,1.02376
13.0869,1.19153
12.9771,1.35862
12.8646,1.52393
12.7473,1.68579
12.6259,1.84469
12.5019,2.00154
12.3767,2.15745
12.2518,2.31364
12.1285,2.47106
12.008,2.63058
11.8925,2.7938
11.7836,2.96146
11.6822,3.13374
11.5886,3.31039
11.5049,3.49178
11.4337,3.67855
11.3769,3.87028
11.3343,4.06559
11.3015,4.26276
11.2781,4.46126
11.2642,4.66065
11.2597,4.86054
11.2613,5.06049
11.2668,5.26037
11.2743,5.46019
11.2825,5.65997
11.2902,5.85978
11.2953,6.05967
11.2961,6.25961
11.2908,6.45948
11.2824,6.65926
11.2727,6.85898
11.2613,7.05861
11.2494,7.25821
11.2409,7.45798
11.2353,7.65786
11.2311,7.85778
11.2241,8.05758
11.0964,8.20366
10.9132,8.28284
10.7254,8.35166
10.5383,8.42209
10.3524,8.49572
10.1673,8.57132
9.98177,8.64601
9.79571,8.71924
9.6083,8.78887
9.4184,8.85137
9.22673,8.90831
9.03396,8.96142
8.84065,9.01253
8.64726,9.06337
