x,y
-0.0435024,-5.44641
0.155532,-5.44458
0.354369,-5.43569
0.55276,-5.41973
0.750455,-5.39668
0.947207,-5.36659
1.14268,-5.32908
1.33657,-5.28411
1.52874,-5.23229
1.71894,-5.17364
1.90691,-5.10822
2.09245,-5.03615
2.27495,-4.95669
2.45446,-4.87072
2.6308,-4.77843
2.80372,-4.67988
2.97302,-4.57522
3.1383,-4.46431
3.29915,-4.34707
3.45573,-4.22421
3.60783,-4.09583
3.75524,-3.9621
3.8978,-3.82319
4.03473,-3.67874
4.16631,-3.5294
4.29249,-3.37548
4.4131,-3.21715
4.52799,-3.05461
4.63675,-2.88792
4.73893,-2.71711
4.83497,-2.54278
4.92474,-2.36514
5.00809,-2.1844
5.08495,-2.0008
5.15456,-1.81432
5.21723,-1.62541
5.27315,-1.43439
5.32221,-1.2415
5.36433,-1.04697
5.39936,-0.851037
5.42656,-0.653863
5.44674,-0.455854
5.45986,-0.257255
5.46588,-0.0583121
5.4648,0.140726
5.45598,0.339571
5.43977,0.537947
5.41651,0.735617
5.3862,0.932328
5.34888,1.12783
5.30456,1.32188
5.25245,1.51398
5.19357,1.70411
5.12796,1.89202
5.05567,2.07746
4.97681,2.2602
4.89102,2.43981
4.79848,2.61603
4.69975,2.78885
4.5949,2.95803
4.48408,3.12335
4.36744,3.28464
4.24436,3.44106
4.11579,3.59301
3.98191,3.74028
3.84284,3.88266
3.69877,4.01999
3.54962,4.1518
3.39552,4.27777
3.23705,4.3982
3.07438,4.51289
2.90772,4.62169
2.73728,4.72449
2.56286,4.82039
2.3851,4.90993
2.20428,4.99309
2.02059,5.06973
1.83428,5.13976
1.64549,5.20281
1.45439,5.25846
1.26144,5.3073
1.06687,5.34922
0.870924,5.38415
0.673852,5.41208
0.475831,5.43221
0.27721,5.44507
0.0782618,5.45087
-0.120767,5.44955
-0.319626,5.44112
-0.518045,5.42539
-0.715688,5.40185
-0.912366,5.37131
-1.10783,5.33378
-1.30182,5.28928
-1.49409,5.23781
-1.68455,5.18002
-1.87203,5.11315
-2.0574,5.0407
-2.24006,4.96164
-2.41977,4.87609
-2.59627,4.78408
-2.76896,4.6851
-2.93802,4.58005
-3.10322,4.46906
-3.26436,4.35222
-3.42122,4.22971
-3.57325,4.10124
-3.72035,3.96715
-3.86258,3.82793
-3.99975,3.68371
-4.13168,3.53468
-4.25815,3.38098
-4.37916,3.22296
-4.49283,3.05957
-4.60149,2.89282
-4.70409,2.72227
-4.80053,2.54815
-4.89028,2.37049
-4.97319,2.18955
-5.04963,2.00578
-5.11946,1.8194
-5.18258,1.63063
-5.23895,1.43974
-5.28756,1.24672
-5.32924,1.0521
-5.36397,0.856122
-5.39167,0.659025
-5.41231,0.46106
-5.42552,0.262457
-5.43104,0.063494
-5.42949,-0.135534
-5.42084,-0.334378
-5.40509,-0.532789
-5.38228,-0.730521
-5.35162,-0.927186
-5.31384,-1.1226
-5.26914,-1.31655
-5.21753,-1.50878
-5.15909,-1.69904
-5.09364,-1.88701
-5.02088,-2.07228
-4.9416,-2.25485
-4.85587,-2.43446
-4.76376,-2.6109
-4.66542,-2.78395
-4.56035,-2.95301
-4.44914,-3.11807
-4.33213,-3.27908
-4.20944,-3.4358
-4.08122,-3.58804
-3.94753,-3.7355
-3.80809,-3.87754
-3.66372,-4.01454
-3.51455,-4.14631
-3.36076,-4.27266
-3.20256,-4.39345
-3.03979,-4.508
-2.87287,-4.61641
-2.7022,-4.71882
-2.52798,-4.81506
-2.35043,-4.90501
-2.16975,-4.98851
-1.98586,-5.06469
-1.7994,-5.13429
-1.61057,-5.19721
-1.41961,-5.25334
-1.22677,-5.30261
-1.03218,-5.34446
-0.836145,-5.37892
-0.639019,-5.4064
-0.441037,-5.42683
-0.242448,-5.44015
