x,y
0.00370296,-4.26967
0.202225,-4.26619
0.400542,-4.25664
0.59847,-4.24103
0.795825,-4.21935
0.992421,-4.19161
1.18813,-4.15819
1.37995,-4.10696
1.56076,-4.02566
1.73781,-3.93581
1.91202,-3.84058
2.08322,-3.74003
2.25126,-3.63428
2.41593,-3.52333
2.57677,-3.40692
2.73399,-3.28566
2.88741,-3.15964
3.03686,-3.02894
3.18222,-2.8937
3.32337,-2.75406
3.4592,-2.60932
3.5724,-2.44674
3.66552,-2.27139
3.75301,-2.09316
3.83504,-1.91235
3.91151,-1.72912
3.98199,-1.5435
4.04648,-1.35571
4.10517,-1.16604
4.158,-0.974657
4.20493,-0.781741
4.24593,-0.587475
4.28098,-0.392047
4.30929,-0.195541
4.32696,0.00220681
4.30889,0.199537
4.28056,0.396048
4.24632,0.591619
4.20614,0.78606
4.1598,0.979127
4.10713,1.17056
4.0486,1.36029
3.98428,1.54812
3.91423,1.7339
3.83853,1.91744
3.7572,2.09857
3.67036,2.27712
3.57764,2.4527
3.45906,2.61078
3.32348,2.75576
3.18153,2.89458
3.03544,3.02904
2.88489,3.15849
2.73039,3.2832
2.57214,3.4031
2.41029,3.5181
2.24499,3.62807
2.07638,3.73291
1.90462,3.83252
1.72974,3.92653
1.55192,4.01487
1.37083,4.09619
1.18052,4.15104
0.985137,4.18636
0.788793,4.21588
0.591597,4.23905
0.393757,4.25582
0.1955,4.26652
-0.00298972,4.27111
-0.201527,4.26958
-0.399925,4.26197
-0.598,4.24827
-0.795564,4.22849
-0.992347,4.20203
-1.18825,4.16974
-1.37873,4.11581
-1.55922,4.0333
-1.73561,3.94214
-1.90887,3.84517
-2.07907,3.74292
-2.24604,3.63549
-2.40962,3.52298
-2.56968,3.4055
-2.72606,3.28316
-2.87861,3.15608
-3.02685,3.02399
-3.17085,2.88729
-3.31065,2.74631
-3.44451,2.59972
-3.5626,2.44108
-3.65697,2.26639
-3.74558,2.0887
-3.82859,1.90834
-3.90601,1.72551
-3.97779,1.5404
-4.04387,1.35318
-4.10417,1.16401
-4.15863,0.973074
-4.20692,0.780484
-4.24893,0.586429
-4.28499,0.391184
-4.31515,0.194944
-4.33138,-0.00214522
-4.30916,-0.19945
-4.27975,-0.395809
-4.24418,-0.591144
-4.20265,-0.785295
-4.15519,-0.978081
-4.10183,-1.16932
-4.04263,-1.35883
-3.97762,-1.54644
-3.90652,-1.73183
-3.82955,-1.91485
-3.747,-2.09542
-3.659,-2.27339
-3.56555,-2.44857
-3.45652,-2.61371
-3.31996,-2.75778
-3.17826,-2.89685
-3.0324,-3.03154
-2.88245,-3.16168
-2.72856,-3.28713
-2.57089,-3.4078
-2.4096,-3.52359
-2.24445,-3.63382
-2.07601,-3.73893
-1.90443,-3.83883
-1.72987,-3.93342
-1.55248,-4.0226
-1.37151,-4.10372
-1.18072,-4.15866
-0.985071,-4.19233
-0.788455,-4.21993
-0.591086,-4.24148
-0.393147,-4.25696
-0.194822,-4.26635
