x,y
-1.77515,-5.80936
-1.57588,-5.80815
-1.37661,-5.80695
-1.17733,-5.80573
-0.97806,-5.80452
-0.778787,-5.8033
-0.579514,-5.80208
-0.380241,-5.80085
-0.180968,-5.79963
0.0183054,-5.79839
0.217578,-5.79716
0.416851,-5.79592
0.616124,-5.79467
0.815397,-5.79342
1.01467,-5.79217
1.21394,-5.79091
1.41322,-5.78964
1.61249,-5.78836
1.81126,-5.77818
1.99749,-5.71471
2.15804,-5.59666
2.31859,-5.47862
2.47914,-5.36057
2.63969,-5.24252
2.80023,-5.12447
2.96077,-5.00641
3.12131,-4.88835
3.28185,-4.77029
3.44238,-4.65222
3.60292,-4.53416
3.76346,-4.41609
3.92399,-4.29802
4.08452,-4.17994
4.24504,-4.06186
4.40556,-3.94378
4.56608,-3.82568
4.72659,-3.70759
4.88039,-3.58172
4.99049,-3.41838
5.05165,-3.22872
5.11281,-3.03906
5.17397,-2.8494
5.23511,-2.65974
5.29625,-2.47007
5.35739,-2.2804
5.41852,-2.09074
5.47965,-1.90107
5.54078,-1.7114
5.60191,-1.52173
5.66304,-1.33206
5.72417,-1.14239
5.78529,-0.952718
5.84641,-0.763045
5.90752,-0.573368
5.96861,-0.383687
6.02969,-0.194001
6.07139,-0.00191423
6.03903,0.194306
5.97791,0.383979
5.91679,0.57365
5.85566,0.763319
5.79452,0.952985
5.73337,1.14265
5.67222,1.33231
5.61107,1.52197
5.54991,1.71163
5.48875,1.90129
5.4276,2.09095
5.36644,2.28061
5.30527,2.47027
5.2441,2.65993
5.18293,2.84958
5.12174,3.03923
5.06054,3.22888
4.99932,3.41852
4.91704,3.59545
4.76926,3.7285
4.60784,3.84535
4.44642,3.96221
4.28499,4.07905
4.12355,4.19588
3.96211,4.3127
3.80066,4.42951
3.6392,4.54631
3.47773,4.66311
3.31627,4.77989
3.1548,4.89668
2.99332,5.01345
2.83184,5.13023
2.67035,5.24699
2.50886,5.36374
2.34737,5.48049
2.18586,5.59723
2.02435,5.71396
1.85273,5.80572
1.65442,5.82173
1.45514,5.8221
1.25587,5.82185
1.05659,5.82158
0.857314,5.82129
0.658037,5.82098
0.45876,5.82067
0.259484,5.82035
0.0602071,5.82001
-0.13907,5.81967
-0.338346,5.81933
-0.537623,5.81897
-0.736899,5.81861
-0.936176,5.81824
-1.13545,5.81786
-1.33473,5.81747
-1.53401,5.81707
-1.73328,5.81666
-1.92505,5.78783
-2.09048,5.67678
-2.2519,5.55996
-2.41265,5.44218
-2.57338,5.32438
-2.7341,5.20656
-2.89481,5.08874
-3.05552,4.9709
-3.21622,4.85306
-3.37692,4.73522
-3.53762,4.61737
-3.69831,4.49952
-3.85901,4.38167
-4.01969,4.26381
-4.18038,4.14595
-4.34106,4.02809
-4.50174,3.91021
-4.66241,3.79233
-4.82309,3.67445
-4.9592,3.53744
-5.02457,3.34919
-5.08588,3.15959
-5.14669,2.96981
-5.20748,2.78003
-5.26824,2.59025
-5.329,2.40046
-5.38974,2.21067
-5.45048,2.02087
-5.51122,1.83108
-5.57195,1.64128
-5.63269,1.45148
-5.69342,1.26169
-5.75415,1.07189
-5.81487,0.882088
-5.87559,0.692287
-5.9363,0.502484
-5.997,0.312676
-6.0577,0.122868
-6.08867,-0.0679373
-6.03138,-0.258802
-5.96904,-0.448074
-5.90658,-0.637311
-5.84409,-0.826537
-5.78159,-1.01576
-5.71906,-1.20497
-5.65653,-1.39418
-5.59399,-1.58339
-5.53144,-1.7726
-5.46888,-1.9618
-5.40632,-2.151
-5.34374,-2.3402
-5.28116,-2.52939
-5.21856,-2.71858
-5.15594,-2.90777
-5.09329,-3.09694
-5.03058,-3.28609
-4.96569,-3.47446
-4.86977,-3.64279
-4.70795,-3.75909
-4.54599,-3.8752
-4.38403,-3.9913
-4.22207,-4.10741
-4.0601,-4.2235
-3.89813,-4.33959
-3.73615,-4.45567
-3.57418,-4.57175
-3.41219,-4.68782
-3.25021,-4.80389
-3.08822,-4.91996
-2.92623,-5.03602
-2.76423,-5.15207
-2.60222,-5.26811
-2.44021,-5.38414
-2.27819,-5.50015
-2.11615,-5.61615
-1.952,-5.72899
