x,y
2.06803,-10.125
2.265,-10.0912
2.46275,-10.0624
2.66126,-10.0393
2.86043,-10.0228
3.05968,-10.0087
3.25715,-9.97888
3.42362,-9.86881
3.59091,-9.7595
3.76217,-9.6565
3.93729,-9.5602
4.11506,-9.4689
4.29484,-9.3816
4.47396,-9.29297
4.65071,-9.19981
4.82243,-9.09765
4.99042,-8.98941
5.15598,-8.8775
5.31977,-8.76299
5.48221,-8.64657
5.64388,-8.52908
5.80519,-8.4111
5.96633,-8.29289
6.12745,-8.17465
6.28929,-8.05739
6.45257,-7.94216
6.6145,-7.82504
6.77485,-7.70576
6.93344,-7.58415
7.0896,-7.45944
7.24203,-7.33022
7.38867,-7.19447
7.52767,-7.05091
7.6645,-6.90525
7.80425,-6.7624
7.94783,-6.62341
8.09579,-6.48907
8.24861,-6.3603
8.40366,-6.2344
8.53733,-6.08612
8.61967,-5.90565
8.69399,-5.72014
8.77387,-5.53694
8.85871,-5.356
8.94755,-5.17698
9.03819,-4.99887
9.12685,-4.81978
9.2085,-4.63741
9.28228,-4.4517
9.35069,-4.26394
9.4155,-4.07489
9.47796,-3.88505
9.53907,-3.69478
9.59975,-3.50436
9.66059,-3.31399
9.72186,-3.12377
9.78403,-2.93383
9.84751,-2.74433
9.9115,-2.555
9.97469,-2.36541
10.0357,-2.1751
10.0933,-1.98373
10.1462,-1.79103
10.1928,-1.59671
10.23,-1.4004
10.2602,-1.20285
10.2897,-1.00519
10.3227,-0.808099
10.3608,-0.611908
10.4046,-0.416923
10.452,-0.222814
10.487,-0.0260922
10.4515,0.167618
10.3981,0.360189
10.3511,0.554444
10.3114,0.750312
10.278,0.947335
10.2495,1.14514
10.2221,1.34311
10.1911,1.54049
10.1495,1.73594
10.1004,1.92964
10.0463,2.12202
9.98868,2.31337
9.92849,2.50394
9.86683,2.69404
9.80457,2.88395
9.74232,3.07386
9.6808,3.26401
9.62049,3.45454
9.56031,3.64511
9.4987,3.83523
9.43495,4.02464
9.36889,4.21325
9.2998,4.40078
9.22571,4.58636
9.14331,4.7684
9.05086,4.94554
8.95585,5.12137
8.86273,5.29819
8.77356,5.47703
8.68988,5.65851
8.61315,5.84304
8.54245,6.02996
8.44446,6.20318
