x,y
-0.130068,-13.005
-0.0584007,-12.8184
0.013267,-12.6317
-0.00840099,-12.5085
-0.207976,-12.5187
-0.406065,-12.5452
-0.60145,-12.5872
-0.79374,-12.6418
-0.981518,-12.7102
-1.16512,-12.7894
-1.34557,-12.8755
-1.52352,-12.9667
-1.69947,-13.0617
-1.87409,-13.1591
-2.04826,-13.2574
-2.22277,-13.355
-2.39824,-13.4509
-2.57525,-13.544
-2.75429,-13.633
-2.93571,-13.7171
-3.11911,-13.7968
-3.30307,-13.8752
-3.48763,-13.9521
-3.67328,-14.0265
-3.86026,-14.0973
-4.04903,-14.1633
-4.24179,-14.216
-4.43813,-14.2534
-4.63574,-14.2388
-4.79755,-14.1308
-4.93515,-13.9861
-5.05758,-13.8282
-5.17221,-13.6644
-5.2824,-13.4975
-5.38909,-13.3284
-5.49299,-13.1575
-5.59574,-12.986
-5.69732,-12.8137
-5.79418,-12.6388
-5.88614,-12.4612
-5.97419,-12.2817
-6.05935,-12.1008
-6.14264,-11.919
-6.22519,-11.7368
-6.3088,-11.5552
-6.39535,-11.3749
-6.48606,-11.1967
-6.58188,-11.0212
-6.68503,-10.8499
-6.79731,-10.6845
-6.91875,-10.5257
-7.05253,-10.3772
-7.19908,-10.2413
-7.35658,-10.1183
-7.52355,-10.0084
-7.69759,-9.91009
-7.88027,-9.82915
-8.0687,-9.76243
-8.26105,-9.70793
-8.45607,-9.66391
-8.65276,-9.62796
-8.85035,-9.59723
-9.04854,-9.57065
-9.24712,-9.54714
-9.44586,-9.52491
-9.64452,-9.50211
-9.84295,-9.4773
-10.0409,-9.44926
-10.2383,-9.41682
-10.4346,-9.37887
-10.6298,-9.33578
-10.8246,-9.29032
-11.0189,-9.24319
-11.2127,-9.19371
-11.4055,-9.14085
-11.5968,-9.08261
-11.784,-9.01248
-11.964,-8.92554
-12.1113,-8.79235
-12.185,-8.60899
-12.2119,-8.41127
-12.2174,-8.21146
-12.2132,-8.01155
-12.204,-7.8118
-12.19,-7.61232
-12.173,-7.41307
-12.1551,-7.21391
-12.1358,-7.01487
-12.1116,-6.81638
-12.0819,-6.61863
-12.0478,-6.42158
-12.0107,-6.22509
-11.9717,-6.02895
-11.9322,-5.83292
-11.8935,-5.63673
-11.8579,-5.43995
-11.8275,-5.24231
-11.8026,-5.0439
-11.7834,-4.84486
-11.7766,-4.64504
-11.784,-4.44525
-11.8071,-4.24666
-11.8456,-4.05047
-11.8977,-3.85747
-11.9683,-3.67042
-12.0546,-3.49007
-12.1551,-3.31728
-12.2686,-3.1527
-12.3918,-2.99519
-12.5222,-2.84362
-12.6605,-2.69914
-12.8026,-2.55846
-12.9474,-2.42055
-13.0939,-2.28444
-13.241,-2.14904
-13.3879,-2.01329
-13.5334,-1.87619
-13.6768,-1.73678
-13.817,-1.59415
-13.9529,-1.44751
-14.0852,-1.29751
-14.2163,-1.14658
-14.3466,-0.994863
-14.4751,-0.841638
-14.6011,-0.686345
-14.7215,-0.526703
-14.8311,-0.359465
-14.9282,-0.184684
-14.9874,0.00612925
-14.9244,0.194696
-14.8283,0.370013
-14.7146,0.534446
-14.595,0.69473
-14.47,0.85082
-14.3407,1.00335
-14.2099,1.15462
-14.0786,1.30545
-13.9462,1.45525
-13.81,1.6017
-13.6697,1.74425
-13.5264,1.88366
-13.3808,2.0208
-13.234,2.15656
-13.0868,2.29189
-12.94,2.42771
-12.7945,2.56483
-12.6525,2.70568
-12.5157,2.85156
-12.3844,3.00237
-12.2618,3.16034
-12.1498,3.32602
-12.0493,3.49887
-11.9634,3.67944
-11.8947,3.86727
-11.8422,4.06021
-11.8053,4.25675
-11.7818,4.45533
-11.7763,4.65522
-11.7843,4.85503
-11.8016,5.05425
-11.8272,5.25258
-11.8593,5.44995
-11.895,5.64671
-11.933,5.84305
-11.972,6.03917
-12.0108,6.23534
-12.0477,6.43189
-12.0814,6.62899
-12.1107,6.8268
-12.1343,7.02537
-12.1525,7.22451
-12.1703,7.42369
-12.1871,7.62296
-12.2018,7.82238
-12.2132,8.02203
-12.2168,8.22196
-12.2102,8.4218
-12.1851,8.61996
-12.1084,8.8034
-11.9548,8.93063
-11.7743,9.01636
-11.5858,9.0831
-11.3949,9.14274
-11.202,9.19525
-11.0079,9.24327
-10.8132,9.28924
-10.6184,9.33427
-10.4234,9.37864
-10.2271,9.41666
-10.0298,9.44905
-9.83178,9.47704
-9.63336,9.50192
-9.43473,9.52503
-9.23604,9.54767
-9.03747,9.57129
-8.83922,9.59742
-8.64165,9.62822
-8.44526,9.66584
-8.25053,9.71127
-8.05796,9.76499
-7.86979,9.83245
-7.6881,9.91582
-7.51373,10.0136
-7.34749,10.1246
-7.19017,10.2479
-7.04465,10.385
-6.91149,10.5341
-6.79,10.6929
-6.67923,10.8593
-6.57669,11.031
-6.48013,11.2061
-6.3908,11.385
-6.30535,11.5658
-6.2218,11.7475
-6.13902,11.9295
-6.05579,12.1113
-5.9708,12.2923
-5.88289,12.4719
-5.79096,12.6495
-5.69409,12.8244
-5.59255,12.9967
-5.48898,13.1678
-5.38454,13.3383
-5.2783,13.5077
-5.16853,13.6748
-5.05175,13.8371
-4.9274,13.9936
-4.78929,14.1378
-4.6261,14.2452
-4.42727,14.2537
-4.23122,14.215
-4.03935,14.1587
-3.85007,14.0943
-3.66366,14.0219
-3.4785,13.9464
-3.29405,13.8692
-3.11002,13.7909
-2.92664,13.7112
-2.74517,13.6272
-2.56619,13.538
-2.38924,13.4449
-2.2138,13.3489
-2.03921,13.2514
-1.86477,13.1537
-1.6898,13.0569
-1.51369,12.9621
-1.33587,12.8707
-1.15551,12.7844
-0.971287,12.7067
-0.783303,12.6387
-0.591051,12.584
-0.395333,12.5433
-0.19717,12.5172
0.00241928,12.5077
0.20204,12.5175
0.400167,12.5438
0.595729,12.5852
0.78798,12.64
0.975932,12.7081
1.15981,12.7866
1.34068,12.8719
1.51876,12.9628
1.69474,13.0578
1.86955,13.1549
2.04399,13.2527
2.21873,13.3499
2.39437,13.4455
2.57152,13.5382
2.75069,13.627
2.93225,13.7108
3.11572,13.7903
3.29957,13.869
3.4838,13.9468
3.66891,14.0224
3.8556,14.094
4.04479,14.1587
4.23687,14.214
4.43302,14.249
4.62797,14.2311
4.79694,14.1278
4.93509,13.9837
5.05809,13.826
5.17355,13.6628
5.28276,13.4953
5.38875,13.3258
5.49285,13.155
5.59577,12.9836
5.69695,12.8111
5.7939,12.6362
5.88589,12.4587
5.97397,12.2791
6.0592,12.0982
6.14264,11.9165
6.22556,11.7345
6.30951,11.5531
6.396,11.3728
6.48649,11.1945
6.58277,11.0192
6.68648,10.8483
6.79872,10.6829
6.92055,10.5244
7.05416,10.3759
7.20108,10.2405
7.35865,10.1176
7.52535,10.0074
7.70009,9.91041
7.88232,9.82848
8.07077,9.7619
8.26324,9.7079
8.45829,9.66399
8.65487,9.62743
8.85242,9.5965
9.05066,9.57029
9.24925,9.54682
9.44796,9.52433
9.64658,9.50121
9.84497,9.47608
10.0429,9.44773
10.2402,9.41495
10.4364,9.37654
10.6316,9.33311
10.8264,9.28784
11.0209,9.24141
11.2148,9.19263
11.4075,9.13927
11.5983,9.07965
11.7857,9.01028
11.9653,8.92303
12.1118,8.79617
12.1863,8.61382
12.2102,8.41554
12.2167,8.21574
12.2133,8.01584
12.2029,7.81615
12.1889,7.61667
12.1726,7.41737
12.155,7.21817
12.1357,7.01914
12.1116,6.82065
12.082,6.62289
12.048,6.42584
12.0109,6.22934
11.9721,6.03317
11.9328,5.8371
11.8946,5.64081
11.8592,5.44402
11.8282,5.24648
11.803,5.04813
11.7849,4.84901
11.7776,4.6493
11.785,4.44961
11.8077,4.25106
11.8455,4.05485
11.8983,3.86211
11.9676,3.6748
12.0541,3.49468
12.1542,3.32174
12.2667,3.15649
12.3893,2.99867
12.5204,2.8477
12.658,2.7027
12.8001,2.56194
12.9452,2.42439
13.0921,2.28867
13.2395,2.15355
13.3865,2.01801
13.5322,1.88108
13.6758,1.74184
13.8161,1.59941
13.9524,1.45316
14.0851,1.30355
14.2161,1.15242
14.3463,1.00069
14.4746,0.847268
14.5992,0.690877
14.7184,0.530406
14.8289,0.363899
