x,y
3.91854,-12.0816
4.05237,-11.946
4.18264,-11.7949
4.31476,-11.6453
4.44942,-11.4981
4.58597,-11.3526
4.72314,-11.2076
4.8597,-11.0621
4.99501,-10.9155
5.12924,-10.7678
5.26304,-10.6198
5.39694,-10.4718
5.53127,-10.3242
5.66668,-10.1777
5.80395,-10.0328
5.94361,-9.89033
6.08619,-9.75074
6.23313,-9.61573
6.38504,-9.48634
6.54052,-9.36127
6.69919,-9.24029
6.86214,-9.12522
7.02925,-9.01622
7.19964,-8.91239
7.37287,-8.81336
7.54932,-8.72017
7.72829,-8.63191
7.90837,-8.54594
8.08933,-8.46185
8.27119,-8.3797
8.4537,-8.29902
8.63635,-8.21867
8.81862,-8.13744
9.00021,-8.0547
9.18112,-7.97049
9.36167,-7.88551
9.54243,-7.80098
9.72405,-7.71831
9.90676,-7.63809
10.0891,-7.55714
10.2606,-7.45543
10.2912,-7.26995
10.306,-7.07095
10.3242,-6.87224
10.3463,-6.67393
10.3716,-6.47599
10.3981,-6.27821
10.4242,-6.08037
10.449,-5.88236
10.4722,-5.68417
10.494,-5.48582
10.5151,-5.28738
10.5371,-5.08905
10.5614,-4.891
10.5891,-4.69339
10.6207,-4.49637
10.6567,-4.30011
10.6973,-4.10473
10.743,-3.91049
10.7942,-3.71762
10.8533,-3.52705
10.9195,-3.33886
10.9918,-3.15291
11.0692,-2.969
11.1513,-2.78713
11.2384,-2.60759
11.3297,-2.43017
11.4249,-2.25476
11.5229,-2.08096
11.6229,-1.90826
11.7235,-1.73593
11.8235,-1.56329
11.9225,-1.39
12.0201,-1.21596
12.1166,-1.04128
12.2125,-0.86631
12.3091,-0.691684
12.4076,-0.518153
12.5087,-0.34613
12.6093,-0.173782
12.6691,0.0164081
12.5876,0.186147
12.4824,0.355697
12.3803,0.52719
12.2818,0.700709
12.1859,0.875679
12.0909,1.05117
11.9954,1.22641
11.8987,1.40098
11.8009,1.57487
11.7022,1.74835
11.6034,1.92169
11.5051,2.09536
11.4087,2.27005
11.3152,2.44633
11.2253,2.62447
11.1393,2.80452
11.0576,2.98655
10.9809,3.17076
10.9108,3.35762
10.8474,3.54679
10.7898,3.73783
10.7385,3.93064
10.6934,4.125
10.6541,4.32061
10.6199,4.5172
10.5897,4.71445
10.5628,4.91218
10.5385,5.11024
10.5161,5.30854
10.495,5.50696
10.4734,5.70534
10.4504,5.90357
10.4257,6.10157
10.3994,6.29939
10.3727,6.49714
10.3473,6.69507
10.3251,6.89337
10.3067,7.09206
10.2872,7.29055
10.2215,7.47885
10.0562,7.56938
9.87182,7.6457
9.68883,7.7253
9.50719,7.80791
9.32641,7.89241
9.14585,7.97736
8.965,8.0617
8.7836,8.14486
8.6016,8.2267
8.41918,8.30758
8.23674,8.38843
8.05465,8.47005
7.87398,8.55477
7.69476,8.64251
7.51724,8.73363
7.3418,8.82868
7.16878,8.92805
6.99861,9.03222
6.83233,9.14253
6.6704,9.25914
6.51228,9.38085
6.35772,9.50704
6.20789,9.63875
6.06234,9.77524
5.91971,9.91478
5.77945,10.0567
5.6413,10.2007
5.50585,10.3472
5.37303,10.4962
5.23971,10.6447
5.10576,10.7926
4.97094,10.9397
4.83505,11.0858
4.69817,11.231
4.5609,11.3758
4.42449,11.5215
4.29027,11.6692
4.15883,11.8193
4.02495,11.9668
3.84808,12.0569
3.65876,12.0282
3.46464,11.982
3.26974,11.9392
3.07418,11.8995
2.87825,11.8616
2.68226,11.8241
2.48641,11.7859
2.29082,11.7463
2.09549,11.7055
1.90032,11.6639
1.7052,11.6221
1.51011,11.5802
1.31422,11.5421
1.11742,11.5092
0.919989,11.4802
0.72206,11.4549
0.523658,11.4337
0.324767,11.4181
0.125398,11.41
-0.0741477,11.4086
-0.273547,11.4161
-0.47256,11.4304
-0.671112,11.4501
-0.869155,11.4745
-1.06662,11.5031
-1.26341,11.5361
-1.4595,11.5731
-1.6549,11.6136
-1.8498,11.6564
-2.04484,11.6986
-2.24007,11.7399
-2.43558,11.7799
-2.63135,11.8185
-2.8273,11.8562
-3.02328,11.8938
-3.219,11.9327
-3.41413,11.9745
-3.60849,12.0197
-3.80363,12.0597
-3.98806,12.0065
-4.12487,11.8627
-4.25535,11.7117
-4.38846,11.5631
-4.52391,11.4165
-4.66061,11.2711
-4.79737,11.1258
-4.9334,10.9798
-5.06832,10.8328
-5.20219,10.6848
-5.33546,10.5363
-5.46898,10.388
-5.60363,10.2407
-5.74067,10.0957
-5.87952,9.95236
-6.02112,9.81177
-6.16607,9.67465
-6.31506,9.54196
-6.46842,9.41434
-6.62594,9.29186
-6.78684,9.17384
-6.95153,9.06116
-7.12033,8.95475
-7.29296,8.85476
-7.46838,8.75966
-7.64571,8.66819
-7.82451,8.57958
-8.00452,8.49348
-8.18588,8.41025
-8.36848,8.32976
-8.55113,8.24938
-8.73342,8.1682
-8.91512,8.08572
-9.09622,8.00192
-9.27693,7.91728
-9.45767,7.8327
-9.63905,7.7495
-9.82166,7.66905
-10.0057,7.59187
-10.1874,7.51014
-10.2799,7.33915
-10.3053,7.14232
-10.3231,6.94357
-10.3443,6.74516
-10.3687,6.54711
-10.3948,6.34927
-10.4208,6.15142
-10.4457,5.95344
-10.4693,5.75529
-10.4914,5.55697
-10.5124,5.35853
-10.5329,5.16004
-10.5545,4.96166
-10.5804,4.76379
-10.6112,4.56664
-10.6455,4.37007
-10.6835,4.17418
-10.7264,3.97932
-10.7752,3.78588
-10.8305,3.59418
-10.8923,3.40444
-10.9622,3.21756
-11.0385,3.03315
-11.1191,2.85062
-11.2037,2.66992
-11.2926,2.49129
-11.3858,2.31483
-11.4823,2.14019
-11.5805,1.96647
-11.6801,1.79357
-11.7803,1.62098
-11.8796,1.4479
-11.9775,1.274
-12.0741,1.09939
