x,y
-0.130068,-13.005
-0.0650697,-12.8159
-7.1071e-05,-12.6268
-0.0252801,-12.5015
-0.224833,-12.5119
-0.423068,-12.5373
-0.619144,-12.5761
-0.812808,-12.6257
-1.0029,-12.6875
-1.18889,-12.7608
-1.37161,-12.8419
-1.55157,-12.9291
-1.72907,-13.0211
-1.90466,-13.1168
-2.07905,-13.2147
-2.25287,-13.3135
-2.42664,-13.4125
-2.6008,-13.5107
-2.77574,-13.6076
-2.95175,-13.7025
-3.12911,-13.7948
-3.3081,-13.884
-3.48919,-13.9688
-3.67264,-14.0483
-3.85854,-14.1219
-4.0473,-14.1878
-4.24072,-14.2379
-4.43843,-14.2661
-4.63587,-14.2454
-4.80288,-14.1432
-4.94506,-14.0031
-5.06916,-13.8466
-5.18318,-13.6824
-5.29065,-13.5138
-5.39234,-13.3416
-5.48862,-13.1664
-5.5808,-12.9889
-5.66994,-12.8099
-5.75659,-12.6297
-5.84124,-12.4486
-5.92449,-12.2668
-6.00699,-12.0846
-6.0895,-11.9024
-6.17292,-11.7207
-6.25882,-11.5401
-6.34881,-11.3616
-6.44393,-11.1857
-6.5449,-11.0131
-6.65345,-10.8452
-6.77118,-10.6836
-6.89712,-10.5284
-7.03362,-10.3824
-7.18072,-10.247
-7.3375,-10.123
-7.50319,-10.0112
-7.67588,-9.91053
-7.85609,-9.8241
-8.04166,-9.74977
-8.23135,-9.68662
-8.42422,-9.63398
-8.61938,-9.59056
-8.81595,-9.55391
-9.01347,-9.52279
-9.21162,-9.49595
-9.41016,-9.47211
-9.60887,-9.44975
-9.80761,-9.42765
-10.0063,-9.40486
-10.2048,-9.38062
-10.403,-9.35429
-10.6008,-9.32519
-10.7981,-9.29239
-10.9945,-9.25505
-11.1899,-9.21272
-11.384,-9.16452
-11.576,-9.10884
-11.7636,-9.03976
-11.9435,-8.95274
-12.0944,-8.8229
-12.1924,-8.64987
-12.2309,-8.45444
-12.2418,-8.25489
-12.2396,-8.05496
-12.2288,-7.8553
-12.2102,-7.65621
-12.1853,-7.45781
