x,y
-0.130068,-13.005
-0.130068,-13.005
0.0695941,-13.0041
0.268301,-13.0237
0.464422,-13.0611
0.656237,-13.1165
0.841587,-13.1908
1.02143,-13.2775
1.19617,-13.3741
1.36628,-13.4786
1.53254,-13.5892
1.69582,-13.7041
1.8569,-13.8221
2.01656,-13.942
2.17563,-14.0627
2.33473,-14.1833
2.49448,-14.3031
2.65547,-14.4212
2.81822,-14.5369
2.98328,-14.6492
3.15112,-14.7574
3.32227,-14.8602
3.49713,-14.9566
3.67624,-15.0448
3.85968,-15.1237
4.04858,-15.1883
4.24224,-15.2369
4.43976,-15.2662
4.63936,-15.2713
4.83691,-15.2423
5.02758,-15.1831
5.20476,-15.091
5.3658,-14.973
5.51116,-14.8362
5.63969,-14.6834
5.75496,-14.5203
5.85886,-14.3498
5.95294,-14.1737
6.03872,-13.9934
6.1175,-13.81
6.19028,-13.624
6.25826,-13.4363
6.32221,-13.2471
6.3832,-13.057
6.4421,-12.8662
6.49992,-12.6751
6.55755,-12.484
6.61607,-12.2931
6.67643,-12.1027
6.74041,-11.9136
6.80935,-11.7262
6.88491,-11.5414
6.96896,-11.3603
7.06331,-11.1843
7.16924,-11.0151
7.28734,-10.8541
7.42193,-10.7066
7.57215,-10.5751
7.73397,-10.4581
7.9064,-10.3574
8.08988,-10.2787
8.27967,-10.2167
8.47358,-10.1691
8.6703,-10.1349
8.86863,-10.1119
9.06783,-10.0982
9.26739,-10.0917
9.46705,-10.0899
9.66671,-10.0913
9.86634,-10.0948
10.066,-10.099
10.2656,-10.103
10.4652,-10.1057
10.6649,-10.1062
10.8646,-10.1036
11.0641,-10.0967
11.2634,-10.0844
11.4621,-10.0653
11.66,-10.0386
11.8563,-10.0023
12.0503,-9.95509
12.2405,-9.89424
12.4249,-9.81765
12.599,-9.71986
12.7593,-9.6009
12.8996,-9.45878
13.0114,-9.29336
13.0964,-9.1127
13.1511,-8.92069
13.1825,-8.72351
13.194,-8.52418
13.1893,-8.32457
13.1706,-8.12579
13.1406,-7.92839
13.1023,-7.73244
13.0566,-7.53808
13.005,-7.34517
12.9487,-7.15361
12.8887,-6.96318
12.8259,-6.77365
12.7612,-6.58475
12.6956,-6.39617
12.6301,-6.20757
12.5656,-6.01859
12.5034,-5.82886
12.4449,-5.63795
12.3918,-5.44548
12.3457,-5.2512
12.3087,-5.05501
12.2824,-4.85708
12.2723,-4.65767
12.2803,-4.45816
12.3063,-4.2602
12.3502,-4.06543
12.4176,-3.87747
12.5057,-3.6983
12.6092,-3.52758
12.7273,-3.36658
12.8586,-3.21617
13.0005,-3.07572
13.1492,-2.94249
13.3033,-2.81546
13.4613,-2.69345
13.6221,-2.5751
13.7847,-2.45921
13.9484,-2.3448
14.1123,-2.23089
14.276,-2.11657
14.4389,-2.00107
14.6003,-1.88357
14.7598,-1.76339
14.9165,-1.63964
15.0698,-1.51177
15.2187,-1.37866
15.3622,-1.23987
15.4984,-1.0939
15.6251,-0.939563
15.7402,-0.776406
15.8399,-0.603439
15.9212,-0.421056
15.9739,-0.228484
15.9971,-0.0301738
15.9848,0.169101
15.939,0.363426
15.8673,0.549794
15.7724,0.72546
15.6611,0.891174
15.5371,1.04768
15.4038,1.19631
15.2626,1.3375
15.1156,1.47268
14.9633,1.60181
14.8076,1.72675
14.6488,1.84773
14.4879,1.96599
14.3253,2.08192
14.1618,2.19653
13.9978,2.31044
13.834,2.42458
13.671,2.53987
13.5095,2.65728
13.3503,2.77783
13.1946,2.90284
13.0442,3.03413
12.901,3.17327
12.7669,3.32118
12.6439,3.47848
12.5337,3.645
12.4408,3.82171
12.3705,4.00861
12.3182,4.20128
12.2839,4.39797
12.272,4.59728
12.2793,4.79681
12.3004,4.99536
12.3336,5.19225
12.3768,5.38718
12.4279,5.5802
12.4849,5.77154
12.5463,5.96153
12.6103,6.15067
12.6758,6.3393
12.7415,6.52782
12.8067,6.71655
12.8702,6.90587
12.9313,7.09596
12.9887,7.28719
13.0418,7.47966
13.0892,7.67362
13.1298,7.86911
13.1621,8.06615
13.1842,8.26459
13.1941,8.46401
13.1892,8.66362
13.1629,8.86155
13.1148,9.05533
13.0413,9.24098
12.9356,9.41035
12.8046,9.56098
12.6493,9.68648
12.4781,9.78924
12.2968,9.87288
12.1085,9.93924
11.9153,9.98953
11.7195,10.0287
11.5219,10.0579
11.3234,10.0789
11.1242,10.0931
10.9247,10.1017
10.7251,10.1056
10.5255,10.1061
10.3258,10.104
10.1262,10.1003
9.92655,10.096
9.72692,10.0922
9.52726,10.0901
9.3276,10.0909
9.128,10.0962
8.92867,10.1077
8.72999,10.1276
8.53261,10.1577
8.33741,10.1997
8.14596,10.2564
7.96171,10.3333
7.78554,10.4273
7.61868,10.5369
7.46456,10.6638
7.32799,10.8095
7.20419,10.9661
7.09334,11.1322
6.99505,11.306
6.90856,11.486
6.8315,11.6702
6.76105,11.857
6.69574,12.0457
6.63427,12.2356
6.57518,12.4264
6.51729,12.6175
6.45955,12.8086
6.40099,12.9995
6.34063,13.1898
6.27766,13.3793
6.21107,13.5675
6.14007,13.7541
6.06347,13.9385
5.98037,14.1201
5.88858,14.2974
5.78767,14.4697
5.67538,14.6348
5.55098,14.7909
5.41228,14.9346
5.25515,15.0578
5.0825,15.158
4.89571,15.2286
4.69931,15.2645
4.49978,15.2714
4.30146,15.2484
4.10673,15.2042
3.91637,15.144
3.73103,15.0697
3.55032,14.9848
3.37439,14.8904
3.20228,14.7892
3.03356,14.6824
2.86777,14.5712
2.70439,14.4564
2.54294,14.3389
2.38286,14.2196
2.22361,14.0991
2.06458,13.9784
1.90514,13.8582
1.74456,13.7395
1.58204,13.6236
1.41685,13.5114
1.24819,13.4045
1.07532,13.3046
0.897031,13.2147
0.712427,13.1387
0.522358,13.0775
0.327839,13.0325
0.130068,13.005
-0.0695941,13.0041
-0.268301,13.0237
-0.464422,13.0611
-0.656237,13.1165
-0.841587,13.1908
-1.02143,13.2775
-1.19617,13.3741
-1.36628,13.4786
-1.53254,13.5892
-1.69582,13.7041
-1.8569,13.8221
-2.01656,13.942
-2.17563,14.0627
-2.33473,14.1833
-2.49448,14.3031
-2.65547,14.4212
-2.81822,14.5369
-2.98328,14.6492
-3.15112,14.7574
-3.32227,14.8602
-3.49713,14.9566
-3.67624,15.0448
-3.85968,15.1237
-4.04858,15.1883
-4.24224,15.2369
-4.43976,15.2662
-4.63936,15.2713
-4.83691,15.2423
-5.02758,15.1831
-5.20476,15.091
-5.3658,14.973
-5.51116,14.8362
-5.63969,14.6834
-5.75496,14.5203
-5.85886,14.3498
-5.95294,14.1737
-6.03872,13.9934
-6.1175,13.81
-6.19028,13.624
-6.25826,13.4363
-6.32221,13.2471
-6.3832,13.057
-6.4421,12.8662
-6.49992,12.6751
-6.55755,12.484
-6.61607,12.2931
-6.67643,12.1027
-6.74041,11.9136
-6.80935,11.7262
-6.88491,11.5414
-6.96896,11.3603
-7.06331,11.1843
-7.16924,11.0151
-7.28734,10.8541
-7.42193,10.7066
-7.57215,10.5751
-7.73397,10.4581
-7.9064,10.3574
-8.08988,10.2787
-8.27967,10.2167
-8.47358,10.1691
-8.6703,10.1349
-8.86863,10.1119
-9.06783,10.0982
-9.26739,10.0917
-9.46705,10.0899
-9.66671,10.0913
-9.86634,10.0948
-10.066,10.099
-10.2656,10.103
-10.4652,10.1057
-10.6649,10.1062
-10.8646,10.1036
-11.0641,10.0967
-11.2634,10.0844
-11.4621,10.0653
-11.66,10.0386
-11.8563,10.0023
-12.0503,9.95509
-12.2405,9.89424
-12.4249,9.81765
-12.599,9.71986
-12.7593,9.6009
-12.8996,9.45878
-13.0114,9.29336
-13.0964,9.1127
-13.1511,8.92069
-13.1825,8.72351
-13.194,8.52418
-13.1893,8.32457
-13.1706,8.12579
-13.1406,7.92839
-13.1023,7.73244
-13.0566,7.53808
-13.005,7.34517
-12.9487,7.15361
-12.8887,6.96318
-12.8259,6.77365
-12.7612,6.58475
-12.6956,6.39617
-12.6301,6.20757
-12.5656,6.01859
-12.5034,5.82886
-12.4449,5.63795
-12.3918,5.44548
-12.3457,5.2512
-12.3087,5.05501
-12.2824,4.85708
-12.2723,4.65767
-12.2803,4.45816
-12.3063,4.2602
-12.3502,4.06543
-12.4176,3.87747
-12.5057,3.6983
-12.6092,3.52758
-12.7273,3.36658
-12.8586,3.21617
-13.0005,3.07572
-13.1492,2.94249
-13.3033,2.81546
-13.4613,2.69345
-13.6221,2.5751
-13.7847,2.45921
-13.9484,2.3448
-14.1123,2.23089
-14.276,2.11657
-14.4389,2.00107
-14.6003,1.88357
-14.7598,1.76339
-14.9165,1.63964
-15.0698,1.51177
-15.2187,1.37866
-15.3622,1.23987
-15.4984,1.0939
-15.6251,0.939563
-15.7402,0.776406
-15.8399,0.603439
-15.9212,0.421056
-15.9739,0.228484
-15.9971,0.0301738
-15.9848,-0.169101
-15.939,-0.363426
-15.8673,-0.549794
-15.7724,-0.72546
-15.6611,-0.891174
-15.5371,-1.04768
-15.4038,-1.19631
-15.2626,-1.3375
-15.1156,-1.47268
-14.9633,-1.60181
-14.8076,-1.72675
-14.6488,-1.84773
-14.4879,-1.96599
-14.3253,-2.08192
-14.1618,-2.19653
-13.9978,-2.31044
-13.834,-2.42458
-13.671,-2.53987
-13.5095,-2.65728
-13.3503,-2.77783
-13.1946,-2.90284
-13.0442,-3.03413
-12.901,-3.17327
-12.7669,-3.32118
-12.6439,-3.47848
-12.5337,-3.645
-12.4408,-3.82171
-12.3705,-4.00861
-12.3182,-4.20128
-12.2839,-4.39797
-12.272,-4.59728
-12.2793,-4.79681
-12.3004,-4.99536
-12.3336,-5.19225
-12.3768,-5.38718
-12.4279,-5.5802
-12.4849,-5.77154
-12.5463,-5.96153
-12.6103,-6.15067
-12.6758,-6.3393
-12.7415,-6.52782
-12.8067,-6.71655
-12.8702,-6.90587
-12.9313,-7.09596
-12.9887,-7.28719
-13.0418,-7.47966
-13.0892,-7.67362
-13.1298,-7.86911
-13.1621,-8.06615
-13.1842,-8.26459
-13.1941,-8.46401
-13.1892,-8.66362
-13.1629,-8.86155
-13.1148,-9.05533
-13.0413,-9.24098
-12.9356,-9.41035
-12.8046,-9.56098
-12.6493,-9.68648
-12.4781,-9.78924
-12.2968,-9.87288
-12.1085,-9.93924
-11.9153,-9.98953
-11.7195,-10.0287
-11.5219,-10.0579
-11.3234,-10.0789
-11.1242,-10.0931
-10.9247,-10.1017
-10.7251,-10.1056
-10.5255,-10.1061
-10.3258,-10.104
-10.1262,-10.1003
-9.92655,-10.096
-9.72692,-10.0922
-9.52726,-10.0901
-9.3276,-10.0909
-9.128,-10.0962
-8.92867,-10.1077
-8.72999,-10.1276
-8.53261,-10.1577
-8.33741,-10.1997
-8.14596,-10.2564
-7.96171,-10.3333
-7.78554,-10.4273
-7.61868,-10.5369
-7.46456,-10.6638
-7.32799,-10.8095
-7.20419,-10.9661
-7.09334,-11.1322
-6.99505,-11.306
-6.90856,-11.486
-6.8315,-11.6702
-6.76105,-11.857
-6.69574,-12.0457
-6.63427,-12.2356
-6.57518,-12.4264
-6.51729,-12.6175
-6.45955,-12.8086
-6.40099,-12.9995
-6.34063,-13.1898
-6.27766,-13.3793
-6.21107,-13.5675
-6.14007,-13.7541
-6.06347,-13.9385
-5.98037,-14.1201
-5.88858,-14.2974
-5.78767,-14.4697
-5.67538,-14.6348
-5.55098,-14.7909
-5.41228,-14.9346
-5.25515,-15.0578
-5.0825,-15.158
-4.89571,-15.2286
-4.69931,-15.2645
-4.49978,-15.2714
-4.30146,-15.2484
-4.10673,-15.2042
-3.91637,-15.144
-3.73103,-15.0697
-3.55032,-14.9848
-3.37439,-14.8904
-3.20228,-14.7892
-3.03356,-14.6824
-2.86777,-14.5712
-2.70439,-14.4564
-2.54294,-14.3389
-2.38286,-14.2196
-2.22361,-14.0991
-2.06458,-13.9784
-1.90514,-13.8582
-1.74456,-13.7395
-1.58204,-13.6236
-1.41685,-13.5114
-1.24819,-13.4045
-1.07532,-13.3046
-0.897031,-13.2147
-0.712427,-13.1387
-0.522358,-13.0775
-0.327839,-13.0325
-0.130068,-13.005
-0.167898,-12.5076
-0.0820686,-12.501
0.117569,-12.5028
0.31623,-12.5217
0.513396,-12.5522
0.708143,-12.5952
0.899761,-12.651
1.08794,-12.7177
1.27144,-12.7963
1.45238,-12.8806
1.63096,-12.9699
1.80744,-13.0632
1.98224,-13.1596
2.15597,-13.258
2.3293,-13.357
2.50279,-13.4558
2.67688,-13.5536
2.85188,-13.6496
3.02813,-13.7434
3.20589,-13.8343
3.3855,-13.9214
3.56731,-14.0039
3.7514,-14.0811
3.93786,-14.1524
4.12787,-14.2133
4.3229,-14.2556
4.52039,-14.2652
4.70983,-14.2172
4.86342,-14.0904
4.99719,-13.9424
5.1155,-13.7816
5.22673,-13.6159
5.33185,-13.4462
5.43083,-13.2728
5.52508,-13.0968
5.61592,-12.919
5.70391,-12.7398
5.78955,-12.5595
5.87339,-12.3783
5.95606,-12.1966
6.03826,-12.0146
6.12088,-11.8329
6.20494,-11.6518
6.29177,-11.472
6.38322,-11.2945
6.48091,-11.1205
6.58492,-10.9501
6.69599,-10.7843
6.81527,-10.6244
6.94414,-10.4719
7.08523,-10.3307
7.23683,-10.2011
7.39638,-10.0813
7.56318,-9.97193
7.73805,-9.87561
7.92093,-9.79561
8.10821,-9.72682
8.29877,-9.66751
8.49184,-9.61703
8.68715,-9.57575
8.88385,-9.54159
9.0814,-9.51275
9.27944,-9.48748
9.47776,-9.4645
9.67618,-9.44244
9.87459,-9.42031
10.0729,-9.39723
10.271,-9.37244
10.4688,-9.34535
10.6662,-9.31529
10.8629,-9.28141
11.0588,-9.24291
11.2535,-9.19894
11.4466,-9.14836
11.6371,-9.08883
11.8231,-9.01627
11.9979,-8.92095
12.1294,-8.77862
12.2085,-8.59891
12.2366,-8.40143
12.2434,-8.202
12.2383,-8.00244
12.2245,-7.8033
12.2038,-7.60474
12.1779,-7.4068
12.148,-7.20941
12.1147,-7.01257
12.0785,-6.81622
12.0402,-6.6203
12.0004,-6.42466
11.96,-6.22915
11.9199,-6.03357
11.8811,-5.83772
11.845,-5.64139
11.8126,-5.4444
11.7856,-5.24662
11.7651,-5.04803
11.7551,-4.84863
11.7563,-4.64906
11.77,-4.45006
11.7959,-4.25222
11.8331,-4.05618
11.8877,-3.86415
11.9579,-3.67741
12.041,-3.49613
12.1359,-3.32061
12.2407,-3.15072
12.3582,-2.98932
12.4839,-2.83427
12.6165,-2.68509
12.7545,-2.54087
12.8964,-2.40042
13.0409,-2.2627
13.1872,-2.1269
13.3346,-1.99224
13.4823,-1.8579
13.6295,-1.72307
13.7758,-1.58714
13.9205,-1.4496
14.0631,-1.30991
14.2031,-1.16759
14.34,-1.02231
14.4733,-0.873625
14.6018,-0.720926
14.7243,-0.563277
14.8339,-0.396503
14.9306,-0.221971
14.9853,-0.0300755
14.9513,0.162406
14.8671,0.342685
14.7599,0.510934
14.6412,0.671391
14.5155,0.826458
14.3837,0.976379
14.2475,1.12234
14.1082,1.26538
13.9663,1.40577
13.8221,1.54392
13.6764,1.68031
13.5293,1.81539
13.3817,1.94976
13.234,2.08413
13.0871,2.21926
12.9416,2.35599
12.7986,2.49528
12.6596,2.63855
12.5258,2.78665
12.3983,2.94025
12.2784,3.09979
12.1669,3.26541
12.0685,3.43904
11.9825,3.61902
11.9097,3.80463
11.8505,3.99521
11.8045,4.1895
11.7752,4.38689
11.759,4.58569
11.7552,4.78516
11.7625,4.98464
11.7784,5.18365
11.8028,5.38179
11.8334,5.57906
11.8686,5.77558
11.9067,5.97154
11.9465,6.16718
11.987,6.36268
12.0271,6.55825
12.066,6.75407
12.1029,6.95027
12.1371,7.14696
12.168,7.34419
12.1949,7.542
12.217,7.74042
12.2333,7.93938
12.2419,8.13881
12.2379,8.33835
12.2206,8.5371
12.1643,8.72582
12.0524,8.89008
