x,y
-1.26544,-4.34608
-1.0677,-4.3207
-0.869443,-4.29989
-0.67074,-4.28392
-0.471726,-4.27243
-0.272512,-4.26522
-0.0731855,-4.26228
0.126164,-4.26345
0.325457,-4.26847
0.524615,-4.27742
0.723548,-4.29043
0.922173,-4.30745
1.12039,-4.32866
1.31812,-4.354
1.49024,-4.30341
1.63526,-4.16663
1.78279,-4.03256
1.93274,-3.9012
2.08507,-3.77261
2.23988,-3.647
2.39711,-3.52443
2.55709,-3.40548
2.72023,-3.29091
2.88623,-3.18056
3.05476,-3.07408
3.2255,-2.97119
3.39827,-2.87174
3.57298,-2.77573
3.72192,-2.66313
3.75559,-2.46665
3.79443,-2.27111
3.83821,-2.07662
3.88605,-1.88309
3.93789,-1.6906
3.9938,-1.49925
4.05383,-1.30916
4.11794,-1.12041
4.18606,-0.933057
4.25812,-0.747185
4.33462,-0.563085
4.41536,-0.380809
4.49959,-0.200126
4.58711,-0.0210105
4.51712,0.158289
4.43337,0.339194
4.35301,0.521626
4.27606,0.705524
4.20293,0.890973
4.1341,1.07806
4.06954,1.26667
4.00893,1.4566
3.95233,1.64775
3.89956,1.83999
3.85089,2.03331
3.80615,2.22757
3.7653,2.42269
3.72883,2.61866
3.61385,2.75593
3.43872,2.85117
3.26543,2.94971
3.09408,3.0516
2.92493,3.15712
2.75817,3.26636
2.59383,3.3792
2.43235,3.49608
2.27416,3.61737
2.11898,3.74251
1.96614,3.87049
1.81571,4.00131
1.66781,4.13498
1.52269,4.27167
1.36335,4.35765
1.16575,4.33121
0.96757,4.30969
0.768953,4.29265
0.570036,4.27953
0.370911,4.2701
0.171642,4.26451
-0.0277021,4.26297
-0.22704,4.26542
-0.426295,4.27183
-0.625363,4.2826
-0.82413,4.29791
-1.02249,4.31775
-1.22034,4.34211
-1.41765,4.37051
-1.56206,4.23534
-1.70798,4.09953
-1.85645,3.9665
-2.00743,3.83631
-2.16096,3.70916
-2.31717,3.58529
-2.47658,3.46557
-2.63895,3.34992
-2.80388,3.23795
-2.97105,3.12935
-3.14029,3.024
-3.31154,2.92195
-3.48478,2.82333
-3.66006,2.72837
-3.73826,2.56478
-3.77566,2.36896
-3.81771,2.17409
-3.86369,1.98011
-3.91318,1.78699
-3.96637,1.59487
-4.02355,1.4039
-4.08503,1.21428
-4.15098,1.02616
-4.22141,0.839667
-4.29601,0.654792
-4.37484,0.471683
-4.45733,0.290189
-4.54304,0.110204
-4.56111,-0.0683451
-4.47528,-0.24827
-4.39313,-0.429903
-4.3145,-0.61309
-4.2396,-0.79783
-4.16876,-0.984164
-4.10191,-1.17197
-4.03891,-1.36112
-3.9803,-1.55167
-3.92579,-1.74342
-3.87543,-1.93631
-3.82892,-2.13015
-3.78604,-2.32484
-3.7469,-2.5203
-3.70227,-2.70961
-3.52621,-2.80311
-3.35208,-2.90017
-3.17997,-3.00077
-3.01,-3.10495
-2.84234,-3.21281
-2.67682,-3.32392
-2.51347,-3.43819
-2.35278,-3.55616
-2.19525,-3.6783
-2.04088,-3.80443
-1.88921,-3.93381
-1.7403,-4.06635
-1.59424,-4.20203
-1.45119,-4.34088
