x,y
-5,-6.5
-5.19883,-6.48676
-5.39415,-6.44729
-5.58251,-6.38227
-5.76059,-6.29287
-5.92525,-6.18064
-6.07358,-6.04758
-6.20297,-5.89603
-6.31112,-5.72867
-6.39614,-5.54845
-6.45652,-5.35855
-6.49119,-5.16232
-6.5,-4.96322
-6.5,-4.76381
-6.5,-4.56439
-6.5,-4.36498
-6.5,-4.16557
-6.5,-3.96615
-6.5,-3.76674
-6.5,-3.56732
-6.5,-3.36791
-6.5,-3.1685
-6.5,-2.96908
-6.5,-2.76967
-6.5,-2.57025
-6.5,-2.37084
-6.5,-2.17142
-6.5,-1.97201
-6.5,-1.7726
-6.5,-1.57318
-6.5,-1.37377
-6.5,-1.17435
-6.5,-0.974939
-6.5,-0.775525
-6.5,-0.57611
-6.5,-0.376696
-6.5,-0.177282
-6.5,0.0221323
-6.5,0.221546
-6.5,0.420961
-6.5,0.620375
-6.5,0.819789
-6.5,1.0192
-6.5,1.21862
-6.5,1.41803
-6.5,1.61745
-6.5,1.81686
-6.5,2.01627
-6.5,2.21569
-6.5,2.4151
-6.5,2.61452
-6.5,2.81393
-6.5,3.01335
-6.5,3.21276
-6.5,3.41217
-6.5,3.61159
-6.5,3.811
-6.5,4.01042
-6.5,4.20983
-6.5,4.40925
-6.5,4.60866
-6.5,4.80807
-6.49986,5.00749
-6.4839,5.20611
-6.44175,5.40087
-6.37415,5.58833
-6.28231,5.76517
-6.16783,5.92827
-6.03275,6.07476
-5.87944,6.20206
-5.71061,6.3079
-5.52924,6.39044
-5.33853,6.44821
-5.14185,6.48019
-4.94266,6.48581
-4.74448,6.46498
-4.55082,6.41807
-4.36508,6.3459
-4.19054,6.24975
-4.03029,6.13131
-3.88167,5.99836
-3.7384,5.85972
-3.59739,5.71871
-3.45638,5.5777
-3.31538,5.4367
-3.17437,5.29569
-3.03336,5.15468
-2.89236,5.01368
-2.75135,4.87267
-2.61034,4.73166
-2.46933,4.59065
-2.32833,4.44965
-2.18732,4.30864
-2.04631,4.16763
-1.90531,4.02663
-1.7643,3.88562
-1.62329,3.74461
-1.48228,3.6036
-1.34128,3.4626
-1.20027,3.32159
-1.05926,3.18058
-0.918255,3.03958
-0.777248,2.89857
-0.636241,2.75756
-0.495234,2.61655
-0.354227,2.47555
-0.213219,2.33454
-0.0722122,2.19353
0.0687949,2.19012
0.209802,2.33112
0.350809,2.47213
0.491816,2.61314
0.632824,2.75414
0.773831,2.89515
0.914838,3.03616
1.05584,3.17717
1.19685,3.31817
1.33786,3.45918
1.47887,3.60019
1.61987,3.74119
1.76088,3.8822
1.90189,4.02321
2.0429,4.16422
2.1839,4.30522
2.32491,4.44623
2.46592,4.58724
2.60692,4.72824
2.74793,4.86925
2.88894,5.01026
3.02995,5.15127
3.17095,5.29227
3.31196,5.43328
3.45297,5.57429
3.59397,5.71529
3.73498,5.8563
3.87762,5.99562
4.03247,6.1212
4.19354,6.23858
4.36831,6.33432
4.55422,6.40604
4.74799,6.4525
4.94622,6.47285
5.14539,6.46675
5.342,6.43431
5.53257,6.37609
5.71375,6.29312
5.88233,6.18687
6.03533,6.05921
6.17007,5.9124
6.28415,5.74902
6.37558,5.57197
6.44273,5.38435
6.48441,5.1895
6.4999,4.99083
6.5,4.79142
6.5,4.592
6.5,4.39259
6.5,4.19318
6.5,3.99376
6.5,3.79435
6.5,3.59493
6.5,3.39552
6.5,3.1961
6.5,2.99669
6.5,2.79728
6.5,2.59786
6.5,2.39845
6.5,2.19903
6.5,1.99962
6.5,1.8002
6.5,1.60079
6.5,1.40138
6.5,1.20196
6.5,1.00255
6.5,0.803134
6.5,0.603719
6.5,0.404305
6.5,0.204891
6.5,0.00547679
6.5,-0.193937
6.5,-0.393352
6.5,-0.592766
6.5,-0.79218
6.5,-0.991594
6.5,-1.19101
6.5,-1.39042
6.5,-1.58984
6.5,-1.78925
6.5,-1.98867
6.5,-2.18808
6.5,-2.38749
6.5,-2.58691
6.5,-2.78632
6.5,-2.98574
6.5,-3.18515
6.5,-3.38457
6.5,-3.58398
6.5,-3.78339
6.5,-3.98281
6.5,-4.18222
6.5,-4.38164
6.5,-4.58105
6.5,-4.78046
6.49202,-4.97964
6.47626,-5.17841
6.43947,-5.37425
6.37704,-5.56349
6.29009,-5.74278
6.18013,-5.90897
6.04912,-6.05911
5.89936,-6.19056
5.7335,-6.301
5.55446,-6.38848
5.3654,-6.45146
5.16967,-6.48882
4.97071,-6.5
4.7713,-6.5
4.57188,-6.5
4.37247,-6.5
4.17305,-6.5
3.97364,-6.5
3.77423,-6.5
3.57481,-6.5
3.3754,-6.5
3.17598,-6.5
2.97657,-6.5
2.77716,-6.5
2.57774,-6.5
2.37833,-6.5
2.17891,-6.5
1.9795,-6.5
1.78008,-6.5
1.58067,-6.5
1.38126,-6.5
1.18184,-6.5
0.982427,-6.5
0.783013,-6.5
0.583599,-6.5
0.384184,-6.5
0.18477,-6.5
-0.0146441,-6.5
-0.214058,-6.5
-0.413473,-6.5
-0.612887,-6.5
-0.812301,-6.5
-1.01172,-6.5
-1.21113,-6.5
-1.41054,-6.5
-1.60996,-6.5
-1.80937,-6.5
-2.00879,-6.5
-2.2082,-6.5
-2.40761,-6.5
-2.60703,-6.5
-2.80644,-6.5
-3.00586,-6.5
-3.20527,-6.5
-3.40469,-6.5
-3.6041,-6.5
-3.80351,-6.5
-4.00293,-6.5
-4.20234,-6.5
-4.40176,-6.5
-4.60117,-6.5
-4.80059,-6.5
