x,y
4.86294,-14.9306
4.95854,-14.7553
5.03425,-14.5705
5.09657,-14.3807
5.14937,-14.188
5.19386,-13.9932
5.2315,-13.797
5.26423,-13.5998
5.29278,-13.4021
5.31779,-13.2038
5.34004,-13.0052
5.36023,-12.8064
5.3789,-12.6075
5.39665,-12.4085
5.41409,-12.2094
5.43192,-12.0104
5.45087,-11.8114
5.47184,-11.6127
5.49566,-11.4143
5.52321,-11.2164
5.55544,-11.0192
5.59348,-10.8231
5.64175,-10.6292
5.69908,-10.4378
5.76516,-10.2493
5.84373,-10.0656
5.93467,-9.88775
6.03447,-9.71479
6.15319,-9.55406
6.2828,-9.40234
6.42601,-9.26298
6.58001,-9.13582
6.74019,-9.01652
6.91668,-8.9231
7.09772,-8.83871
7.28604,-8.77187
7.47836,-8.71843
7.67378,-8.67679
7.87254,-8.65693
8.072,-8.64656
8.27181,-8.64651
8.47129,-8.65827
8.67009,-8.67804
8.86811,-8.70458
9.0653,-8.73683
9.26172,-8.77355
9.45741,-8.81397
9.65262,-8.85665
9.8475,-8.90085
10.0422,-8.94584
10.2369,-8.9908
10.4317,-9.03514
10.6269,-9.07825
10.8224,-9.11938
11.0185,-9.15799
11.2151,-9.19353
11.4124,-9.22528
11.6103,-9.2523
11.809,-9.27339
12.0083,-9.28763
12.2081,-9.29241
12.4077,-9.28469
12.6058,-9.25984
12.7031,-9.14023
12.6675,-8.94384
12.6138,-8.75144
12.5485,-8.56262
12.4739,-8.37727
12.3927,-8.19468
12.3061,-8.01461
12.2152,-7.83669
12.1208,-7.66056
12.0237,-7.48595
11.9243,-7.31261
11.8231,-7.1403
11.7208,-6.96866
11.6179,-6.79736
11.5149,-6.62609
11.4126,-6.45444
11.3116,-6.28203
11.2126,-6.10848
11.1167,-5.93317
11.0247,-5.75577
10.9378,-5.57588
10.8569,-5.39321
10.784,-5.20716
10.7218,-5.01728
10.669,-4.82468
10.6253,-4.62972
10.6038,-4.43109
10.5933,-4.23173
10.5991,-4.03199
10.622,-3.83361
10.6549,-3.63659
10.7174,-3.44695
10.7896,-3.26069
10.8784,-3.08167
10.9804,-2.91021
11.0964,-2.74749
11.2287,-2.59795
11.369,-2.45579
11.5196,-2.32447
11.6777,-2.20241
11.8414,-2.08794
12.0107,-1.98169
12.1854,-1.88468
12.3627,-1.79268
12.5423,-1.705
12.7235,-1.62083
12.9059,-1.53932
13.0892,-1.45974
13.273,-1.38124
13.4569,-1.30314
13.6407,-1.2248
13.8242,-1.14564
14.0071,-1.06511
14.1891,-0.982713
14.37,-0.897841
14.5494,-0.809781
14.7269,-0.717966
14.9021,-0.621841
15.0739,-0.519973
15.2412,-0.410632
15.4027,-0.293138
15.5562,-0.165314
15.6941,-0.0209269
15.5939,0.12869
15.4443,0.261072
15.2848,0.381305
15.1182,0.491654
14.9472,0.594988
14.773,0.692763
14.5962,0.785938
14.4174,0.875135
14.2369,0.960859
14.0551,1.04377
13.8724,1.12469
13.689,1.20413
13.5053,1.28261
13.3213,1.3607
13.1375,1.43901
12.954,1.51818
12.7713,1.59899
12.5896,1.68223
12.4096,1.76908
12.2319,1.86045
12.0571,1.95716
11.8859,2.06006
11.7188,2.16958
11.5593,2.28994
11.4086,2.42101
11.2646,2.55944
11.1316,2.70855
11.0111,2.86774
10.8989,3.03307
10.8122,3.21292
10.7348,3.39708
10.6732,3.58717
10.6274,3.78136
10.6017,3.97952
10.594,4.17895
10.5989,4.3787
10.6218,4.57719
10.6561,4.77383
10.7039,4.96787
10.7668,5.15747
10.8376,5.34428
10.9158,5.52813
11.0008,5.70895
11.0919,5.88682
11.1872,6.06248
11.2855,6.23639
11.3861,6.40908
11.488,6.58093
11.5908,6.75232
11.6937,6.92361
11.7962,7.09516
11.8977,7.26728
11.9976,7.44031
12.0955,7.61452
12.1908,7.79016
12.2829,7.96748
12.3706,8.14701
12.453,8.32904
12.5292,8.51375
12.598,8.70134
12.6558,8.89255
12.6957,9.08822
12.6581,9.24868
12.4609,9.28004
12.2615,9.29154
12.0618,9.28946
11.8623,9.27799
11.6634,9.25919
11.4652,9.23369
11.2678,9.20283
11.071,9.16801
10.8748,9.12998
10.6792,9.08938
10.484,9.04673
10.289,9.00268
10.0943,8.95789
9.8996,8.91295
9.70477,8.86854
9.50966,8.8254
9.31413,8.78422
9.11801,8.74597
8.92112,8.71189
8.72342,8.68283
8.52469,8.66198
8.32529,8.64968
8.12559,8.64625
7.92587,8.65235
7.72709,8.67269
7.53029,8.70607
7.33573,8.75161
7.14833,8.82054
6.96464,8.89902
6.78802,8.99249
6.62014,9.10028
6.46544,9.22676
6.3215,9.36501
6.18655,9.51236
6.06724,9.6726
5.95667,9.83884
5.86642,10.0171
5.78637,10.2001
5.71548,10.3868
5.65621,10.5777
5.60726,10.7714
5.56579,10.9668
5.53108,11.1636
5.5019,11.3612
5.47731,11.5595
5.45577,11.7582
5.43664,11.9571
5.41872,12.1561
5.40134,12.3552
5.38385,12.5542
5.36557,12.7532
5.34595,12.9521
5.32433,13.1507
5.30015,13.3491
5.27249,13.547
5.24057,13.7442
5.20386,13.9407
5.1614,14.1359
5.11167,14.3294
5.05206,14.5201
4.98022,14.7065
4.89119,14.8851
4.73202,14.8887
4.55785,14.7911
4.39336,14.6778
4.23512,14.5558
4.08293,14.4263
3.93544,14.2915
3.79161,14.1528
3.651,14.0108
3.51318,13.8662
3.37765,13.7193
3.24388,13.5709
3.11142,13.4213
2.97987,13.2709
2.84875,13.1201
2.71754,12.9693
2.58574,12.8192
2.45263,12.6701
2.3176,12.5228
2.17995,12.378
2.039,12.2364
1.89414,12.0988
1.7447,11.9661
1.58869,11.8413
1.42677,11.7243
1.25939,11.6154
1.08325,11.521
0.900461,11.4406
0.71365,11.3699
0.521477,11.3151
0.325833,11.276
0.126571,11.2611
-0.0730338,11.2604
-0.272515,11.2718
-0.469366,11.3057
-0.664195,11.3495
-0.851199,11.4198
-1.03427,11.4995
-1.21249,11.5899
-1.3824,11.695
-1.54655,11.8087
-1.70435,11.9312
-1.85504,12.0625
-2.00082,12.1991
-2.14268,12.3398
-2.28112,12.4839
-2.41674,12.6306
-2.55026,12.7793
-2.68242,12.9292
-2.81376,13.0798
-2.94486,13.2306
-3.07624,13.3812
-3.20837,13.5311
-3.34176,13.6798
-3.47686,13.8271
-3.61405,13.9724
-3.75376,14.1152
-3.89647,14.2551
-4.04293,14.391
-4.19381,14.522
-4.35021,14.6463
-4.5133,14.7617
-4.68438,14.8647
-4.8619,14.9298
-4.95819,14.7551
-5.03436,14.5704
-5.09719,14.3808
-5.14906,14.1879
-5.19351,13.9931
-5.23145,13.7969
-5.26415,13.5998
-5.29274,13.402
-5.31794,13.2038
-5.34035,13.0052
-5.36047,12.8064
-5.379,12.6074
-5.39666,12.4084
-5.41405,12.2093
-5.4318,12.0103
-5.45069,11.8114
-5.47148,11.6126
-5.49522,11.4142
-5.52313,11.2164
-5.55582,11.0192
-5.5949,10.8233
-5.64144,10.629
-5.69735,10.4372
-5.76629,10.2497
-5.84484,10.0661
-5.93293,9.88675
-6.03621,9.7157
-6.15032,9.55198
-6.28398,9.40344
-6.42693,9.26409
-6.57769,9.13297
-6.74351,9.02166
-6.9147,8.91878
-7.09854,8.84064
-7.28605,8.77198
-7.47793,8.71621
-7.67431,8.68016
-7.87243,8.65454
-8.07209,8.64645
-8.27183,8.64811
-8.47133,8.65839
-8.67027,8.67707
-8.86827,8.70402
-9.06538,8.7368
-9.26173,8.77385
-9.45745,8.81412
-9.65266,8.8568
-9.84754,8.90099
-10.0423,8.94587
-10.237,8.99077
-10.4318,9.03503
-10.627,9.07805
-10.8225,9.11928
-11.0185,9.15813
-11.2151,9.19381
-11.4124,9.22556
-11.6104,9.25249
-11.8091,9.27349
-12.0084,9.28725
-12.2081,9.29199
-12.4078,9.28582
-12.6057,9.2594
-12.7034,9.14047
-12.6682,8.94392
-12.6138,8.7517
-12.5481,8.56304
-12.4739,8.37756
-12.3928,8.19492
-12.3065,8.01469
-12.2157,7.83672
-12.1212,7.66066
-12.0238,7.48617
-11.9243,7.3129
-11.8231,7.14056
-11.7209,6.96888
-11.618,6.79756
-11.5151,6.62625
-11.4128,6.45461
-11.3118,6.28223
-11.2128,6.10865
-11.1166,5.93352
-11.0242,5.75634
-10.9374,5.57636
-10.8575,5.39319
-10.7854,5.20693
-10.7211,5.01777
-10.6672,4.82537
-10.629,4.62931
-10.6007,4.43162
