x,y
5.23396,-16.4325
6.7508,-13.8052
7.01316,-11.3894
4.1828,-16.2917
3.35113,-15.7709
14.0133,2.69654
13.1108,3.09473
2.61006,-15.093
1.91615,-14.3336
12.2965,3.6458
14.1848,8.87774
1.23207,-13.557
0.481317,-12.896
13.8518,10.2623
12.9816,10.7165
-0.772974,-13.1071
-3.51567,-15.8962
11.8885,10.7846
10.6592,10.6168
-4.97681,-16.4656
-5.87499,-16.0599
9.36023,10.3282
8.12064,10.1426
-6.44508,-15.086
-6.76861,-13.685
7.25069,10.5972
6.9376,12.0163
-6.9376,-12.0163
-7.25069,-10.5972
6.76861,13.6849
6.44508,15.086
-8.12062,-10.1426
-9.36021,-10.3282
5.875,16.0599
4.97682,16.4656
-10.6592,-10.6168
-11.8885,-10.7846
3.51569,15.8962
0.772996,13.1071
-12.9816,-10.7165
-13.8517,-10.2623
-0.481309,12.896
-1.23206,13.557
-14.1848,-8.87776
-12.2965,-3.64581
-1.91615,14.3335
-2.61005,15.093
-13.1108,-3.09473
-14.0133,-2.69655
-3.35112,15.7709
