x,y
-5,-5
-4.80026,-5
-4.60052,-5
-4.40079,-5
-4.20105,-5
-4.00131,-5
-3.80157,-5
-3.60183,-5
-3.40209,-5
-3.20236,-5
-3.00262,-5
-2.80288,-5
-2.60314,-5
-2.4034,-5
-2.20367,-5
-2.00393,-5
-1.80419,-5
-1.60445,-5
-1.40471,-5
-1.20497,-5
-1.00524,-5
-0.805498,-5
-0.60576,-5
-0.406022,-5
-0.206284,-5
-0.00654574,-5
0.193192,-5
0.392931,-5
0.592669,-5
0.792407,-5
0.992145,-5
1.19188,-5
1.39162,-5
1.59136,-5
1.7911,-5
1.99084,-5
2.19057,-5
2.39031,-5
2.59005,-5
2.78979,-5
2.98953,-5
3.18926,-5
3.389,-5
3.58874,-5
3.78848,-5
3.98822,-5
4.18796,-5
4.38769,-5
4.58743,-5
4.78717,-5
4.98691,-5
5,-4.81335
5,-4.61362
5,-4.41388
5,-4.21414
5,-4.0144
5,-3.81466
5,-3.61492
5,-3.41519
5,-3.21545
5,-3.01571
5,-2.81597
5,-2.61623
5,-2.4165
5,-2.21676
5,-2.01702
5,-1.81728
5,-1.61754
5,-1.4178
5,-1.21807
5,-1.01833
5,-0.81859
5,-0.618852
5,-0.419114
5,-0.219375
5,-0.0196372
5,0.180101
5,0.379839
5,0.579577
5,0.779315
5,0.979054
5,1.17879
5,1.37853
5,1.57827
5,1.77801
5,1.97774
5,2.17748
5,2.37722
5,2.57696
5,2.7767
5,2.97644
5,3.17617
5,3.37591
5,3.57565
5,3.77539
5,3.97513
5,4.17486
5,4.3746
5,4.57434
5,4.77408
5,4.97382
4.87728,4.87728
4.73604,4.73604
4.59481,4.59481
4.45357,4.45357
4.31233,4.31233
4.1711,4.1711
4.02986,4.02986
3.88862,3.88862
3.74739,3.74739
3.60615,3.60615
3.46492,3.46492
3.32368,3.32368
3.18244,3.18244
3.04121,3.04121
2.89997,2.89997
2.75873,2.75873
2.6175,2.6175
2.47626,2.47626
2.33503,2.33503
2.19379,2.19379
2.05255,2.05255
1.91132,1.91132
1.77008,1.77008
1.62885,1.62885
1.48761,1.48761
1.34637,1.34637
1.20514,1.20514
1.0639,1.0639
0.922664,0.922664
0.781428,0.781428
0.640192,0.640192
0.498955,0.498955
0.357719,0.357719
0.216483,0.216483
0.0752466,0.0752466
-0.0659896,0.0659896
-0.207226,0.207226
-0.348462,0.348462
-0.489698,0.489698
-0.630934,0.630934
-0.772171,0.772171
-0.913407,0.913407
-1.05464,1.05464
-1.19588,1.19588
-1.33712,1.33712
-1.47835,1.47835
-1.61959,1.61959
-1.76082,1.76082
-1.90206,1.90206
-2.0433,2.0433
-2.18453,2.18453
-2.32577,2.32577
-2.46701,2.46701
-2.60824,2.60824
-2.74948,2.74948
-2.89071,2.89071
-3.03195,3.03195
-3.17319,3.17319
-3.31442,3.31442
-3.45566,3.45566
-3.59689,3.59689
-3.73813,3.73813
-3.87937,3.87937
-4.0206,4.0206
-4.16184,4.16184
-4.30308,4.30308
-4.44431,4.44431
-4.58555,4.58555
-4.72678,4.72678
-4.86802,4.86802
-5,4.98691
-5,4.78717
-5,4.58743
-5,4.38769
-5,4.18796
-5,3.98822
-5,3.78848
-5,3.58874
-5,3.389
-5,3.18926
-5,2.98953
-5,2.78979
-5,2.59005
-5,2.39031
-5,2.19057
-5,1.99084
-5,1.7911
-5,1.59136
-5,1.39162
-5,1.19188
-5,0.992145
-5,0.792407
-5,0.592669
-5,0.392931
-5,0.193192
-5,-0.00654574
-5,-0.206284
-5,-0.406022
-5,-0.60576
-5,-0.805498
-5,-1.00524
-5,-1.20497
-5,-1.40471
-5,-1.60445
-5,-1.80419
-5,-2.00393
-5,-2.20367
-5,-2.4034
-5,-2.60314
-5,-2.80288
-5,-3.00262
-5,-3.20236
-5,-3.40209
-5,-3.60183
-5,-3.80157
-5,-4.00131
-5,-4.20105
-5,-4.40079
-5,-4.60052
-5,-4.80026
